"avg_rating","movie_year","movie_cluster","movie_avgScore"
3.392857,2005,444,2.931
3.333333,2005,545,3.866
3.06391,2005,417,3.512
3.533333,2002,344,3.8
3.928571,1998,248,3.806
4.906977,2002,138,3.08
3.69697,2004,509,3.105
3.808219,2005,250,3.558
3.666667,2003,255,3.549
3.523622,2004,395,4.671
4.375,2000,409,3.425
3.038567,2004,200,4.102
3.786667,1991,486,3.794
3.5,1964,223,3.51
4.059524,2002,379,3.093
3.812652,1980,200,4.544
3.807018,2000,259,3.689
3.483627,2005,710,3.598
4.021739,2003,284,3.512
3.307692,1989,580,3.877
2.911628,1993,107,3.905
2.961538,2003,632,3.311
4.522807,1956,271,3.05
3.425287,2002,332,3.781
3.682692,1991,826,3.998
4.144737,1994,252,3.458
4.304348,1989,468,4.033
3.655556,1992,423,3.938
3.312018,1929,387,3.686
3.923933,1994,33,3.067
3.393443,1990,162,3.797
3.242769,2004,133,3.542
4.1875,2004,428,3.716
4.700692,1994,821,2.329
3.842105,2004,886,3.009
3.126316,2004,656,3.315
3.906977,1971,888,4.074
3.430556,1982,342,3.333
3.377778,2005,220,2.992
4.353349,1992,12,2.79
3.2,2005,320,2.967
3.525641,1999,395,4.062
3.272727,2002,706,3.017
3.787234,2004,113,2.602
3.706977,1991,276,3.633
3.676471,1997,812,3.105
3.301587,2004,521,4.186
3.730769,2001,603,3.323
3.101695,2003,22,3.721
3.72,2005,424,4.237
4,2004,377,3.374
3.75,1998,376,3.83
4.212202,2002,408,3.872
4.157635,2005,76,3.253
3.5,2004,539,3.593
3.466667,2000,259,3.689
3.701613,2005,746,2.225
3.291667,1998,783,3.509
3.107143,2005,424,4.237
3.428571,1941,731,4.021
3.285714,1981,68,3.746
3,2004,747,2.819
2.521739,2001,417,3.184
3.891667,2004,456,3.728
4.004695,2005,308,3.53
3.517857,2004,488,3.481
3.356322,2003,454,4.286
2.818182,2003,90,3.517
4.154206,1985,246,3.822
3.478528,1966,310,3.633
3.431579,2003,147,3.576
3.797619,2004,434,3.471
3.957627,2004,647,3.533
3.470588,2003,823,3.374
3.717949,2003,75,3.589
3.28,2004,832,4.145
3.523179,1997,4,3.33
3.904762,2004,515,3.104
3.488215,1965,11,4.008
3.529412,2000,100,3.475
3.323792,2003,135,3.267
3.363229,2005,308,3.53
4.4375,2002,706,3.017
3.657143,1994,558,3.494
3.09322,2004,401,3.514
3.74359,2003,823,3.374
3.627451,1999,393,3.963
3.622642,2002,284,3.175
4.300448,2003,632,3.311
2.5,2005,44,3.196
3.675258,1980,95,4.287
3.617647,1979,223,3.84
3.94,2005,3,4.071
3.394286,2005,262,4.012
3.5,1994,619,4.349
4.37797,2005,137,3.668
3.927152,1999,200,3.604
3.925926,2003,447,3.537
3.974757,1982,631,3.503
3.894737,2001,283,3.927
3.510851,1993,564,3.85
3.888889,1992,639,3.21
3.88764,2004,488,3.627
3.885246,2001,58,4.289
3.970732,2004,350,3.751
4.74359,1989,637,2.979
3.263158,1951,534,3.885
3.015267,2001,16,3.459
4.019868,1985,111,3.433
4.826772,1995,210,4.257
3.918367,2004,444,3.284
4.424242,2000,610,3.734
4.15,2004,757,3.299
2.932039,2004,417,3.077
3.020833,1999,26,4.426
3.794521,2004,444,3.284
3.053691,2005,368,2.983
4.211765,1972,179,3.93
3.367397,2004,209,3.413
3.275229,1987,82,3.91
2.575,2002,429,3.85
3.955466,1992,160,3.389
3.506667,2004,746,3.765
3.420635,2004,553,3.527
3.419355,2003,318,3.755
2.490446,1997,273,3.622
4.46875,2004,493,3.492
3.554054,2002,746,4.172
4.100741,2003,631,3.349
3.931034,2003,318,3.755
3.52,2005,3,4.071
3.617647,1988,58,3.949
3.829787,2005,841,4.306
3.566667,2001,417,3.184
4,1994,485,3.765
3.526882,2000,535,3.878
3.959184,1993,161,3.682
2.714286,2002,801,3.335
3.93865,2005,220,2.992
4.135135,1999,554,3.69
2.738095,2002,101,4.121
4.08156,2005,357,3.194
3.655172,1987,580,3.971
3.555184,2003,165,3.126
4.267016,2003,29,3.762
3.682927,2005,88,3.482
3.380952,1990,491,3.649
4.291667,2003,447,3.537
3.373626,2004,285,4.124
2.563071,2003,284,3.512
3.545455,1979,414,3.983
3.217235,2005,587,3.534
3.320495,2004,401,3.514
4.009313,2005,758,3.524
4.5,2002,697,3.363
2.728155,1993,130,2.849
3.977273,2001,729,3.406
3.345679,1989,214,3.858
3.413793,1983,391,4.101
3.536232,1996,400,3.723
3.285714,2003,444,3.013
3.419608,2005,834,3.745
3.533333,1965,11,4.008
3.756757,1948,515,3.938
3.94,1985,366,3.8
4.038462,2004,560,3.563
4.790323,1996,289,3.5
3.745418,2001,137,3.305
4.254688,2002,563,3.554
3.836735,2003,255,3.549
3.383875,1980,268,2.753
3.9,2002,408,3.872
4.481203,2005,88,3.482
3.636364,2002,133,3.358
3.75,2002,255,3.453
2.327586,1975,490,3.886
3.054795,1959,231,3.947
3.540984,1987,580,3.971
3.710417,2001,58,4.289
2.956772,1986,178,3.28
2.857143,1967,973,3.955
3.863158,2003,17,4.068
2.933333,2004,576,2.205
3.5,2004,417,3.077
4.069565,2001,351,3.452
4.363636,2001,729,3.406
3.483395,2004,872,3.259
3.136773,2002,567,3.889
3.846639,1964,246,4.117
3.314972,2004,42,3.94
3.881356,2003,416,3.584
3.690476,2000,100,3.475
3.660714,1998,299,3.988
3.674699,2002,448,3.723
3.820513,1989,568,2.978
3.316176,1998,567,3.794
3.28,2000,50,3.52
3.155784,2005,186,3.287
3.497024,2005,417,3.512
3.128999,2004,350,3.751
3.671053,2004,450,3.695
3.145098,1980,955,3.409
3.660377,1998,376,3.83
3.93,2004,608,3.435
4.230769,2000,251,3.766
4.181818,2005,210,4.076
4.071429,1990,166,2.757
3.885618,1996,392,3.082
3.377778,2003,356,3.701
4.524476,1994,234,3.838
3.413793,2004,631,3.616
3.304348,1993,111,4.066
4.333333,2000,439,4.001
3.501319,1998,659,3.936
3.485804,2001,428,3.076
3.225275,2000,448,3.388
4.169811,2000,411,3.837
3.181818,2004,567,3.838
2.585586,2000,336,2.651
3.720588,1998,177,3.867
4.391304,2000,409,3.425
4.088235,2004,132,4.194
3.549738,1999,614,3.496
3.146628,2005,618,4.208
3.840194,2004,539,3.593
3.460317,2002,159,3.411
4.109375,2003,135,3.267
3,2001,475,3.136
3.80597,2003,632,3.311
3.725724,2002,738,3.893
4.446043,2002,877,3.594
2.354839,2003,632,3.311
4.169399,1976,69,3.893
3.654618,1980,445,3.487
4.013204,1999,566,4.31
3.651515,1989,417,4.049
3.609756,2002,706,3.017
4.068966,2005,863,3.825
3.259259,1994,31,4.135
3.364706,2002,36,3.012
3.364103,2004,742,3.758
2.838235,2002,706,3.017
3.66,2004,473,3.828
3.846473,2005,428,3.8
3.987692,2005,230,3.569
3.559322,1998,308,3.64
3.608187,2001,158,3.579
3.716667,2002,454,4.014
3.371471,2000,123,2.944
3.884615,2005,61,3.732
3.482759,2001,13,4.717
3.789256,2004,377,3.374
3.486486,2004,285,3.398
3.581395,2005,22,3.406
3.910979,2004,444,3.284
3.5,2004,285,3.398
3.931507,1997,273,3.622
3.634328,1971,888,4.074
4.220339,1996,420,3.953
2.428571,2005,28,2.849
3.216157,2005,220,2.992
3.966527,2002,801,3.335
3.95082,1993,827,3.716
3.6,1991,505,3.436
3.9375,2005,603,3.43
3.275362,1951,184,3.911
4,2000,308,3.787
3.11745,2004,133,2.926
3.735294,2005,62,4.014
3.761596,1994,25,3.219
2.575,1999,202,3.805
4.283019,2005,44,3.724
3.447368,2005,307,3.443
3.133333,1990,466,3.909
3.916442,2000,634,3.528
2.320755,2002,258,3.618
3.851852,1999,887,3.629
3.969925,2003,519,4.428
3.688525,1990,328,3.874
3.537975,1999,851,3.252
4.107143,1988,147,3.939
4.164763,2002,448,3.973
3.444444,2003,619,3.809
3.761905,2005,186,3.287
3.25,1983,307,3.689
3.904523,2004,554,3.551
2.925926,2005,10,2.443
3.785068,2000,416,3.354
3.540404,2004,386,3.585
4.632653,2004,705,2.86
4.177677,1982,106,4.146
2.672218,2001,863,3.925
3.961538,1951,534,3.885
3.783784,2004,395,4.671
3.886256,1999,631,3.983
4.189655,2004,285,3.398
3.810811,1999,107,3.629
4.047872,1999,107,3.629
3.36875,2004,565,3.338
4.166667,2004,395,4.671
3,2004,133,3.542
3.196429,2004,560,3.563
3.592262,2001,89,4.449
3.643087,2003,69,3.964
3.529412,2005,308,3.53
4.076923,1996,42,3.412
4.261364,1990,729,3.188
3.787321,1993,911,3.67
3.177419,2004,589,2.813
3.6,1966,70,4.035
4.055479,1992,509,3.565
3.696113,2005,220,2.992
3.1629,2004,76,3.233
3.956522,2004,586,3.094
3.518987,2004,379,4.309
3.326633,2002,462,3.059
3.782979,1954,69,4.182
4.184874,1981,876,3.525
3.5,1961,105,3.224
3.117647,1998,616,3.398
3.570033,1992,439,3.51
3.059006,2005,131,3.438
4.04,2003,13,4.723
3.487179,2004,525,3.277
3.948052,2001,351,3.452
3.611111,1998,299,4.295
3.536481,2004,939,3.831
2.430464,1998,210,4.155
3.6,2000,258,3.71
3.807692,2000,409,3.425
3.876812,2004,92,4.19
4.192,2003,29,3.762
4.142857,2003,17,4.068
3.792453,1958,725,4.053
3.428571,1998,97,3.534
3.292517,2004,746,3.765
4.263158,1954,581,4.018
3.529111,1995,98,3.315
3.272727,2003,753,3.424
3.677419,1988,281,3.405
3.850679,1991,75,3.408
4.827586,1990,507,3.892
3.97619,2000,135,3.935
3.125,2004,133,3.542
3.857143,1992,439,3.51
4.25,1996,18,3.317
4.714286,2000,827,3.693
3.804979,2005,424,4.237
3.066667,2004,350,3.659
3.579681,2000,222,3.441
3.120438,2005,368,2.983
2.94289,2004,740,3.144
4.414634,1999,132,3.701
2.808081,2005,758,3.524
4.25,1995,49,3.569
3.5,2005,604,3.677
4.088608,2005,308,3.53
3.563725,1998,742,3.448
3.363636,2004,832,4.145
3.061947,2004,165,2.6
3.696429,1987,580,3.971
3.184466,2003,461,2.71
3.655172,1998,277,4.206
3.77234,2004,84,3.027
3.857143,2000,258,3.71
3.569343,2002,777,3.785
3.277778,2004,521,4.186
3,2003,386,3.534
4.166667,2004,285,3.398
3.8125,2002,101,4.121
3.928021,1981,249,3.274
3.275612,1999,361,3.806
2.909774,1964,246,4.117
3.84,2005,714,3.08
4.990421,2005,633,3.685
4.173913,2003,632,3.311
4.064639,2004,279,3.601
3.224138,2004,218,3.281
3.877863,2002,970,3.044
3.769874,2005,284,3.23
3.324638,2005,88,3.482
3.766871,2001,148,4.435
3.684211,2005,22,3.406
3.213333,1999,194,3.428
1.75,1999,68,3.382
4.279352,2003,88,3.233
3.799663,2003,740,3.428
3.912322,2004,919,2.841
3.710526,2004,337,3.626
2.8125,2005,22,3.406
3,2004,639,3.014
4.012048,2003,422,3.78
3.736842,2004,701,3.864
3.366667,2005,710,3.598
4.130435,1995,564,3.505
3.599483,2003,98,3.823
3.559211,1992,423,3.938
3.7,1995,33,2.815
3.259223,2004,152,4.092
3.4,2004,539,3.593
3.31746,1985,754,3.391
3.464253,1995,310,3.324
3.869048,2004,138,3.581
3.944444,2004,539,3.593
3.366834,1980,200,4.544
4.111111,2004,706,3.679
3.6,2004,757,3.299
3.178404,1993,238,3.899
3.671053,2004,503,2.739
3.846154,2002,58,4.334
3.927273,2003,398,3.135
3.733333,1987,72,3.703
3.861111,2004,521,4.186
3.758621,2005,419,3.66
3.643533,1968,911,3.807
3.815385,2003,54,3.244
3.733333,1977,542,4.018
3.6,2000,655,3.276
3.212766,2003,9,2.757
3.384615,2000,702,3.601
2.958491,1998,480,1.972
3.807018,2005,419,3.66
4.259259,2003,177,4.01
4.105263,2004,480,4.01
3.363636,2003,281,3.947
4.354839,1985,359,3.548
3.804054,2004,629,3.257
3.92,2003,686,3.836
4.169811,2003,447,3.537
3.408854,1996,836,4.004
3.545455,2003,398,3.135
3.382813,2004,119,3.352
3.765517,2005,131,3.438
3.340675,2005,424,4.237
3.530973,1966,484,4.024
4.245455,1978,570,3.472
3.834101,2003,90,3.517
3.850575,2003,566,3.698
4.058824,1984,678,4.19
1.210526,2003,572,3.316
3.424658,2004,627,3.176
3.217949,2002,245,3.152
3.845588,1996,823,3.555
3.969595,1983,563,3.771
3.572917,1977,391,3.797
3.214286,2003,412,2.91
4.024793,2004,400,3.192
4.106667,2001,6,2.993
3.627907,2003,234,3.545
4.333333,1995,821,3.595
3.730769,1988,750,3.242
3.555743,2004,608,3.435
4.216216,1998,306,3.72
3.30303,2001,149,3.558
3.537634,2004,627,3.176
4.076667,2000,740,3.486
4.090909,2004,701,3.864
2.862069,1993,672,3.27
3.593407,1993,276,3.792
3.732049,2003,17,3.703
3.388889,2004,146,3.693
3.156627,2005,368,2.983
3.719008,2001,599,3.975
3.862069,2004,697,3.227
3.666667,1998,969,3.786
3.916898,1987,196,3.28
3.394737,1998,291,3.451
3.346154,2003,69,3.964
4.241935,2004,701,3.864
4.198113,2004,682,4.188
3.370044,2004,177,3.975
3.537634,2003,22,3.721
3.711111,2004,560,3.563
3.77095,1954,515,4.2
3.537838,2005,368,2.983
3.698171,2003,323,3.565
3.668317,1972,36,3.676
3.258065,1972,197,3.992
3.5,1999,354,2.553
3.637931,1997,133,3.853
3.818868,1994,759,4.03
3.530983,2005,368,2.983
3.014354,2002,148,4.461
3.555118,2001,246,4.035
3.25,2004,146,3.693
3.902564,1988,328,3.934
4.082215,2001,632,3.33
3.610169,2003,130,3.417
3.024242,2003,48,3.088
3.92887,2001,269,3.474
3.435644,2000,48,3.567
3.371212,1985,619,3.531
3.865854,2004,213,3.208
3.371429,2004,178,3.479
3.8625,2004,629,3.257
3.423868,1992,749,4.183
4.433333,2002,801,3.335
4.016949,1998,81,3.905
3.5,2005,307,3.443
3.344978,2004,488,3.481
4.081081,2000,187,1.708
2.744681,2001,706,3.185
4.322581,2005,78,3.128
3.275362,2001,618,4.344
3.983051,1964,246,4.117
3.457627,2004,98,3.457
3.088889,2002,351,3.486
2.915332,1989,370,3.844
3.75947,2001,603,3.323
3.254658,2004,350,3.751
3.625,1995,600,3.676
3.063131,2005,424,4.237
3.326797,2005,78,3.128
2.795455,2001,351,3.452
3.398104,2004,444,3.284
3.392157,2004,627,3.176
3.657895,2000,379,2.973
3.689516,2002,285,3.974
4.103448,2005,320,2.967
3.801205,2004,746,3.504
3.012346,2000,409,3.425
3.824324,1988,675,3.134
3.428571,2002,255,3.453
3.004435,2005,162,3.306
2.408163,1995,858,3.361
3.458078,2000,122,2.883
3.713415,1941,464,4.033
3.645598,1972,385,3.244
3.655172,2004,480,4.01
3.497382,1995,988,3.746
3.833333,1987,580,3.971
3.641434,1998,646,3.701
3.526316,2005,137,3.668
3.098039,2002,423,2.674
3.619048,2002,825,3.808
3.789634,2002,738,3.893
3.394366,1962,422,4.292
3.890909,2001,283,3.927
3.3,1950,259,3.671
3.56422,2000,409,3.425
3.909091,1939,375,3.953
3.709677,2003,447,3.537
3.87156,1993,325,3.768
4.26087,2004,133,3.542
4.086022,2004,200,4.102
3.300366,2004,434,3.471
3.157895,2004,55,3.614
3.740741,1995,512,3.753
3.698925,2000,135,3.935
3.138728,2005,308,3.53
4.117647,1955,360,3.82
4.322892,2005,428,3.8
3.764463,2005,210,4.076
3.865961,2004,417,3.077
4.052632,2004,579,2.696
3.923636,2005,186,3.287
3.961538,2004,146,3.693
3.807118,1955,52,3.64
3.977654,2005,307,3.443
2.772358,2004,71,3.254
3.484,2005,307,3.443
3.681818,2005,522,3.137
4.709677,2001,417,3.184
4.147059,1991,589,3.963
4.553191,2005,27,3.862
3.116364,1985,30,4.403
3.854167,1991,52,4.312
4.192513,2004,498,3.634
3.453125,2003,337,3.759
4.538462,1999,429,4.079
3.801047,1984,25,3.825
3.2,2002,133,3.358
3.685185,1975,709,4.277
3.532432,2004,133,3.542
3.015625,1985,755,3.71
4.181818,2004,498,3.634
3.526718,2003,686,3.836
3.74005,2003,516,2.441
4,1987,476,3.899
3.34375,1996,650,3.435
3.394737,2004,285,3.609
3.253731,2002,285,3.974
3.75,1999,615,3.85
3.613514,2002,332,3.781
3.176,1999,110,3.131
4.071429,1985,615,3.097
3.782609,1989,214,3.858
3.619048,2002,873,3.367
2.80776,1994,151,4.3
4.429688,2001,394,3.057
3.962264,2004,337,3.874
3.339286,2004,337,3.874
3.852632,1971,242,3.967
4,1987,580,3.971
3.797386,1989,771,3.321
3.404082,2002,290,2.855
3.728395,2004,8,3.19
4.318493,1989,262,3.64
3.631579,2004,706,3.679
4.327664,1994,327,3.563
3.891386,1997,424,2.827
3.516966,2002,793,3.547
3.30411,2000,720,3.813
3.795918,1996,534,3.577
3.232143,1979,374,4.08
4.285714,1996,485,3.188
3.837838,2001,417,3.184
3.162791,2002,329,4.467
3.3125,1941,731,4.021
3.72449,2000,189,3.545
3.625,2004,705,2.86
3.444444,1990,507,3.892
4.011834,2005,220,2.992
3.440678,1995,823,3.537
4.161184,2004,492,3.549
4.714286,2004,350,3.751
3.671875,2003,290,3.14
3.4125,2003,17,3.703
3.895833,1965,370,4.04
3.493333,2003,172,3.932
3.9375,1995,600,3.676
3.676768,1996,392,3.082
3.760112,1992,462,3.83
4,1990,166,2.757
3.231975,2005,137,3.668
2.932432,2004,417,3.077
3.813187,2004,627,3.176
2.875,2004,302,4.093
4.232143,2004,706,3.679
3.373832,2005,659,3.473
3.623762,2005,309,3.763
3.351351,2005,44,3.724
3.275,1988,466,4.125
3.286611,1994,134,3.861
3.918919,2003,172,3.932
3.62,2004,273,3.387
3.674419,2000,418,3.683
4.407407,2004,337,3.874
4.296296,2004,488,3.481
4.323529,1990,34,3.191
3.079734,2004,427,4.582
3.072464,2004,450,3.695
4.181818,1998,291,3.451
4.540166,2004,492,3.549
3.872951,1979,59,3.49
3.406897,2001,351,3.452
3.394737,1989,370,3.844
3.222222,2004,659,2.925
4,2001,148,4.304
4.045383,1981,529,3.934
3.761905,1977,165,3.323
4.252101,2005,250,3.558
3.614035,1984,25,3.825
4.285714,2002,135,4.336
4.048387,2005,587,3.534
3.302326,2001,351,3.452
3.52883,1990,10,3.405
3.975309,2002,462,3.059
4.166667,2000,279,3.79
3.189189,2003,398,3.917
4,2004,480,4.01
3.857143,1999,88,4.231
4.27957,2004,143,3.372
3.491197,2004,48,2.999
3.947368,2003,234,3.545
2.814465,1960,698,3.94
4.37037,1953,59,3.51
3.809524,1968,195,3.665
3.54,2002,604,2.757
3.857778,2005,62,4.014
3.877395,1999,735,2.875
3.555556,1990,209,3.905
3.679426,2005,404,3.881
3.666667,1976,809,3.699
2.407407,1994,619,4.349
3.433333,2005,424,4.237
3.234875,2002,200,3.55
3.791667,2004,895,2.989
3.241379,1994,31,4.135
4,2002,618,4.392
3.483491,2002,423,3.781
4.555556,2002,284,3.175
4.835859,1972,291,3.751
3.664234,2004,279,3.601
4.970588,2004,631,3.616
3.821229,2000,259,3.689
4.044444,1959,212,4.158
3.369637,1994,519,3.986
3.473684,2003,447,3.537
4.208333,2003,921,3.104
2.570067,1991,773,4.093
4.657143,2004,377,3.374
4.25,1997,569,3.525
3.666667,2004,706,3.679
3.719512,2002,746,4.172
3,1980,200,4.544
3.891473,1991,353,3.736
3.831615,2004,444,3.284
3.421053,2004,521,4.186
3.509972,1986,92,3.522
2.942308,2000,166,3.23
3.461078,1996,51,3.804
2.674419,1999,393,3.963
3.313725,2003,632,3.311
4.202532,2002,428,3.673
3.923077,2003,753,3.424
3.246575,2003,5,3.435
3.260331,2003,284,3.512
4.006623,1991,75,3.408
3.878401,1991,296,3.392
3.397695,1988,344,3.383
3.5,2004,428,3.716
3.142857,2004,579,2.696
3.461538,2003,632,3.311
3.683544,2005,3,4.071
3.715909,1994,831,3.707
3.721519,2005,309,3.763
3.971429,2004,337,3.626
3.990099,1998,68,3.583
3.777778,1999,307,3.798
4.144144,2004,71,3.254
3.98374,1989,772,3.559
3.333333,2004,175,2.85
3.861057,2005,137,3.668
3.944,1992,874,3.964
4.138889,2005,714,3.08
3.02934,2003,576,3.372
4.226667,2004,428,3.716
3.304659,1987,377,3.841
3.166667,1990,491,3.649
3.281513,2005,522,3.137
3.458333,1991,589,3.963
3.297226,1995,561,3.962
4.014851,1959,447,3.584
3.973231,2004,168,2.661
4.2,2000,554,3.361
4.642593,1985,325,3.815
3.822581,2003,632,3.311
3.888889,2003,632,3.311
3.316981,2003,803,2.034
3.552632,2005,131,3.438
3.626016,1999,603,2.984
3.960784,2003,29,3.762
3.95,1950,231,4.026
3.5,2005,17,2.903
3.205882,2004,670,1.795
4.046154,2004,175,2.85
3.698276,2003,308,4.416
3.307692,1996,107,3.771
4.113636,1998,646,3.701
3.646341,1939,376,4.132
4.053659,2003,639,4.382
4.055556,2001,417,3.184
4.827586,1995,254,3.814
4.208333,2002,101,4.121
4.304527,2001,148,4.435
4.045977,2003,281,3.947
3.931373,2004,757,3.299
3.942529,1973,80,4.162
3.398551,1991,823,3.276
4.096133,2004,635,3.926
4.712766,2002,350,3.287
3.75,2005,603,3.43
3.571429,1982,427,3.846
3.218667,2005,62,4.014
4.462687,1994,133,3.754
3.782927,2004,448,3.994
2.848485,1999,25,2.865
4.010929,2004,417,3.077
3.278366,1991,276,3.633
4.323529,1981,68,3.746
4.044444,1971,880,3.368
3,1991,486,3.794
3.333333,2004,262,2.943
2.984615,2002,385,2.499
3.85,2002,482,4.035
4.282828,2005,679,3.755
4.367347,2002,332,3.781
3.519573,1971,888,4.074
2.66,2004,492,3.549
3.785714,2003,779,3.435
4.071429,2001,553,4.051
2.685714,2004,450,3.695
4.125,1954,581,4.018
3.17094,1986,43,4.141
2.5,2000,554,3.361
3.185185,2005,62,4.014
3.37037,2001,519,4.328
3.701571,1983,307,3.689
3.310559,2003,17,3.703
3.27027,2002,515,3.423
4.132231,2004,424,2.81
3.333333,2004,554,3.551
4.326923,2002,349,3.934
3.824324,2004,337,3.626
3.987611,1998,291,3.451
3.163636,2004,400,3.192
3.058824,2002,238,3.264
3.714286,2004,88,3.58
3.717241,1999,253,3.588
4.317647,2005,44,3.724
2.885,2003,774,3.551
4.297297,2001,618,4.344
3.6,2004,377,3.374
3.339286,2002,454,4.263
2.613811,2005,309,3.763
3.417323,1999,110,3.552
4.423077,1996,129,3.774
3.545455,2005,603,3.43
3.765625,2004,279,3.601
3.169492,1994,88,3.748
4.008547,2005,424,4.237
4.277778,1999,272,2.856
4.46595,1984,88,3.957
2.880795,1993,510,3.187
4.023256,2004,992,3.809
3.687956,2005,137,3.668
3.644385,2000,52,3.508
3.802885,2005,385,3.966
3.814815,2002,640,2.928
4.587156,2004,706,3.679
3.704225,2004,152,3.91
4.695946,1996,192,3.707
3.717122,1989,177,3.731
3,2004,521,4.186
4.209677,2003,146,3.428
3.875,1998,291,3.451
3.357466,1957,136,3.789
3.535714,2005,659,3.473
4.043956,1975,267,4.173
3.907895,2004,115,3.026
4.041667,2005,309,3.763
3.777778,2001,599,3.975
4.152381,2000,441,3.91
3.728614,1999,615,3.85
4,2004,631,3.616
3.2,2003,416,3.584
3.230769,2000,554,3.361
3.064516,1999,791,3.584
4.090909,1987,113,3.723
3.739583,1973,200,3.992
3.681698,1961,65,3.924
3.495222,1998,742,3.448
3.254902,2005,679,3.755
4.434783,1990,34,3.191
2.932927,1983,391,4.101
3.655709,2005,220,2.992
3.596774,2002,94,3.872
4.217391,1999,293,3.1
4.9,2005,307,3.443
4.214286,2002,329,4.467
3.606061,2004,95,3.689
3.608018,1974,133,4.404
4.118012,2003,29,3.762
3.128852,2005,605,3.668
4.32107,1998,116,3.384
3.2,2004,740,3.144
3.888889,2005,554,3.226
4.287129,1993,201,4.254
3.352697,2001,148,4.435
4.098765,2004,746,3.765
