"","X","year","name","cluster","avgScore"
"120",120,"2004","Plain Dirty",113,2.417417
"121",121,"2003","Beyonce: Live at Wembley",114,3.608247
"122",122,"2002","Cube 2: Hypercube",115,2.908301
"123",123,"2000","Chain of Fools",116,2.841912
"124",124,"2000","Cold Blooded",117,2.27381
"125",125,"1981","Nighthawks",118,3.371395
"126",126,"2003","Vampire Effect (aka Twins Effect)",54,3.198129
"127",127,"1987","Fatal Beauty",119,2.632886
"128",128,"1985","Mr. Vampire",120,3.214976
"129",129,"2003","Darkwolf",121,2.150868
"130",130,"1999","Drowning on Dry Land",122,2.232558
"131",131,"2002","Arachnid",33,2.693295
"132",132,"1981","Lucio Fulci: The Beyond",123,3.070646
"133",133,"2003","Viva La Bam: Season 1",124,3.742711
"134",134,"1996","Spirit Lost",125,2.132653
"135",135,"1998","GTO: Great Teacher Onizuka: Set 2",126,4.149606
"136",136,"1927","Cat and the Canary",127,2.975
"137",137,"1998","Naked Lies",128,2.394089
"138",138,"1995","Star Trek: Voyager: Season 1",129,3.940256
"139",139,"2001","Allergies: A Natural Approach",130,2.510417
"140",140,"1993","Lost in the Wild",64,2.525424
"141",141,"2004","Goddess of Mercy",131,2.97619
"142",142,"2000","The Tricky Master",132,2.813084
"143",143,"1997","The Game",133,3.852399
"144",144,"2000","Deepak Chopra: The Way of the Wizard & Alchemy",32,3.20979
"145",145,"1978","Get Out Your Handkerchiefs",134,3.082774
"146",146,"1988","Cannibal Women in the Avocado Jungle of Death",135,2.423077
"147",147,"1992","Where Sleeping Dogs Lie",136,2.171875
"148",148,"2001","Sweet November",137,3.3049
"149",149,"2005","The Edward R. Murrow Collection",138,3.016129
"150",150,"2001","Firetrap",139,2.882129
"151",151,"2005","Sleepover Nightmare",140,1.959538
"152",152,"1995","A Little Princess",141,3.933377
"153",153,"2002","MTV Yoga",12,2.746082
"154",154,"2000","Demon Warrior Koji",142,2.922581
"155",155,"1975","The Strongest Man in the World",143,3.594427
"156",156,"1992","Husbands and Wives",100,3.494811
"157",157,"2004","Laird: White Knuckle Extreme",58,3.377331
"158",158,"2004","A Killer Within",144,2.657682
"159",159,"1971","Gentlemen of Fortune",145,3.92638
"160",160,"2000","Gormenghast",146,3.019166
"161",161,"1939","Ninotchka",147,3.85381
"162",162,"1968","John Cleese on How to Irritate People",148,2.965665
"163",163,"2002","MTV: Making the Band 2: Best of Season 1",148,2.359788
"164",164,"2003","One Last Dance",149,2.624806
"165",165,"1982","Richard Pryor: Live on the Sunset Strip",150,3.917328
"166",166,"1980","Fame",151,3.556969
"167",167,"2004","The Chorus",152,4.092864
"168",168,"1983","Smokey and the Bandit Part 3",153,3.236215
"169",169,"2004","Cartoon Network Halloween: 9 Creepy Cartoon Capers",154,3.377644
"170",170,"1972","Tomorrow",155,3.174528
"171",171,"1957","Funny Face",156,3.74132
"172",172,"2003","Jack",157,3.126183
"173",173,"1968","The Devil's Brigade",158,3.535827
"174",174,"1968","Adam-12: Season 1",159,3.322751
"175",175,"1992","Reservoir Dogs",160,4.003484
"176",176,"2004","The History Channel Presents: Troy: Unearthing the Legend",161,3.269231
"177",177,"2002","Pressure",162,2.689362
"178",178,"1996","Regular Guys",163,3.371996
"179",179,"2003","Bollywood Bound",164,2.459364
"180",180,"2002","Scratch",147,3.834801
"181",181,"2004","The Last Shot",165,2.601474
"182",182,"2001","Moby: Play",166,3.086207
"183",183,"2005","IFilm: Deranged",167,3.01227
"184",184,"2004","Billy Blanks: Tae Bo: Cardio Circuit 1",168,3.334177
"185",185,"1985","Missing in Action 2: The Beginning / Missing in Action 3: Braddock",169,3.059649
"186",186,"1950","Panic in the Streets",170,3.382759
"187",187,"2002","Death to Smoochy",36,3.012048
"188",188,"2005","Dead Birds",56,2.761111
"189",189,"1982","Airplane II: The Sequel",33,3.346168
"190",190,"1989","Blood and Sand",171,2.096154
"191",191,"2003","X2: X-Men United",172,3.931896
"192",192,"2003","The SoulTaker",173,3.188889
"193",193,"2005","Marilyn Manson: Fear of a Satanic Planet",174,2.975
"194",194,"1996","Arliss: The Best of Arliss",175,3.135093
"195",195,"2004","Chasing Freedom",176,3.309783
"196",196,"1992","Peter Tosh: Stepping Razor: Red X",177,3.496689
"197",197,"2004","Taking Lives",178,3.478505
"198",198,"1997","Gupt",24,3.082474
"199",199,"1978","The Deer Hunter",52,3.892909
"200",200,"1964","The Fall of the Roman Empire",179,3.015748
"201",201,"2001","Home Movie",180,3.413205
"202",202,"2001","Ruby's Bucket of Blood",181,3.104712
"203",203,"1997","Sports Illustrated Swimsuit Edition: 1997",9,3.168421
"204",204,"2002","Venus Boyz",182,2.696035
"205",205,"2004","Troy: Bonus Material",183,3.311508
"206",206,"2004","Unconstitutional: The War on Our Civil Liberties",184,3.855831
"207",207,"2001","Denise Austin: Ultimate Fat Burner",185,2.869565
"208",208,"1947","The Three Stooges: Sing a Song of Six Pants",186,3.358974
"209",209,"1996","Star Trek: Deep Space Nine: Season 5",187,4.164741
"210",210,"2001","Onmyoji",188,3.160767
"211",211,"2004","The Agronomist",189,3.553159
"212",212,"1982","Querelle",190,2.771493
"213",213,"2001","Dinner Rush",191,3.470827
"214",214,"2002","Read-Along: Beauty and the Beast",119,2.919355
"215",215,"1998","That '70s Show: Season 1",26,4.06352
"216",216,"2000","Impostor",192,3.219687
"217",217,"1988","Cherry 2000",193,2.952038
"218",218,"1983","Triumph: Live at the US Festival",194,3.22807
"219",219,"1995","Neon Bible",195,2.638889
"220",220,"1983","Winston Churchill: The Wilderness Years",196,3.255708
"221",221,"2005","Voyage to the Planets and Beyond",197,3.433962
"222",222,"1998","Yellow",198,2.602041
"223",223,"2003","Chappelle's Show: Season 1",26,4.211198
"224",224,"1999","Midsomer Murders: Blood Will Out",199,3.834106
"225",225,"2004","The Cookout",152,2.733653
"226",226,"1996","Henry: Portrait of a Serial Killer 2",200,2.454545
"227",227,"2001","The Carol Burnett Show: Show Stoppers",201,3.418888
"228",228,"1979","Butch and Sundance: The Early Days",127,2.840426
"229",229,"2003","Peter Gabriel: Growing Up Live",202,3.830247
"230",230,"1987","Unsolved Mysteries: Psychics",203,3.095238
"231",231,"2002","Marooned in Iraq",204,2.937173
"232",232,"1989","Gross Anatomy",146,3.181837
"233",233,"1971","Chato's Land",205,3.237864
"234",234,"1921","Animation Legend: Winsor McCay",206,2.936842
"235",235,"1996","Unhook the Stars",207,3.03211
"236",236,"1998","Cartoon Crazys Sci-Fi",208,2.32
"237",237,"1918","Broken Blossoms",209,3.411765
"238",238,"1976","Led Zeppelin: The Song Remains the Same",210,3.675862
"239",239,"2004","Winnie the Pooh: Springtime with Roo",211,3.766467
"240",240,"1942","Woman of the Year",13,3.948178
"241",241,"1959","North by Northwest",212,4.158199
"242",242,"1995","Neon Genesis Evangelion: The End of Evangelion",213,3.912027
"243",243,"1962","Pressure Point",162,3.008696
"244",244,"2004","Stellvia",214,3.873786
"245",245,"2002","Road Dogz",215,2.766667
"246",246,"1968","The Boston Strangler",112,3.114754
"247",247,"1994","Oleanna",216,3.032761
"248",248,"2001","Michael Moore's The Awful Truth: Season 2",187,3.632509
"249",249,"1958","The Hunters",217,3.179487
"250",250,"1966","Cast a Giant Shadow",218,3.437337
"251",251,"2000","Midsomer Murders: Strangler's Wood",199,3.879397
"252",252,"2002","Stuart Little 2",219,3.39122
"253",253,"1935","A Night at the Opera",130,4.069331
"254",254,"2003","Westender",220,2.047872
"255",255,"2001","The Hunchback of Notre Dame II",221,3.142073
"256",256,"2000","Ghost Dog: The Way of the Samurai",222,3.440007
"257",257,"1973","Charlotte's Web",3,3.912487
"258",258,"1999","Mann",223,2.96319
"259",259,"2004","Animal",224,3.224138
"260",260,"1967","Marat / Sade",218,3.157635
"261",261,"1948","The Big Clock",132,3.68714
"262",262,"1974","Herbie Rides Again",225,3.710078
"263",263,"2001","Dragon Ball: Tournament Saga",226,3.98427
"264",264,"2002","Angelina Ballerina: Lights,Camera,Action!",169,2.88806
"265",265,"2002","The Jeff Corwin Experience: Costa Rica and the Amazon",227,3.245098
"266",266,"2000","Saudade Do Futuro",228,3.055556
"267",267,"1994","Touched by an Angel: Season 1",100,3.684028
"268",268,"1980","The Final Countdown",229,3.71158
"269",269,"1989","Parenthood",230,3.757223
"270",270,"2001","Sex and the City: Season 4",58,4.289239
"271",271,"1943","Saludos Amigos",231,3.114407
"272",272,"1973","Female Yakuza Tale",232,2.919355
"273",273,"2004","Taxi",69,3.362131
"274",274,"2002","Crazy as Hell",233,2.763021
"275",275,"2002","Evelyn",234,3.633406
"276",276,"1998","Cold Harvest",235,2.088496
"277",277,"2003","Enigma: MCMXC A.D",236,3.442308
"278",278,"1990","100 Days Before the Command",149,2.144578
"279",279,"1984","Micki and Maude",237,3.173735
"280",280,"1998","Sarah Brightman: In Concert",70,3.35514
"281",281,"1993","The Legend",138,3.752908
"282",282,"2003","Blue Seed: Beyond",238,3.662404
"283",283,"1996","If These Walls Could Talk",192,3.705789
"284",284,"2005","Sasquatch Hunters",239,2.273684
"285",285,"1997","The Devil's Own",158,3.326861
"286",286,"1966","Thunderbirds Are Go",240,2.915789
"287",287,"1994","Luther Vandross: Always and Forever: An Evening of Songs",76,3.565041
"288",288,"2004","Saturday Night Live: The Best of Chris Kattan",241,3.545215
"289",289,"1998","The Avengers",88,2.335616
"290",290,"2004","Harold and Kumar Go to White Castle",242,3.584753
"291",291,"2000","Chained Heat 3: Hell Mountain",185,2.222222
"292",292,"2005","Saturday Night Live: The Best of Gilda Radner",243,3.851992
"293",293,"2003","Lennon Legend: The Very Best of John Lennon",244,3.76601
"294",294,"2002","Oasis",245,3.147826
"295",295,"1995","Ace Ventura: When Nature Calls",98,3.315955
"296",296,"2000","In His Life: The John Lennon Story",213,2.938596
"297",297,"2003","The Hebrew Hammer",52,2.879649
"298",298,"2002","Crunch: Pick Your Spot Pilates",246,3.109131
"299",299,"2001","Bridget Jones's Diary",247,3.706658
"300",300,"1997","Option Zero",248,2.455357
"301",301,"2003","Hard Ground",249,2.593023
"302",302,"2001","The Isle",250,2.818391
"303",303,"1959","Les Liaisons Dangereuses",251,3.09417
"304",304,"1997","King of the Hill: Season 1",252,3.767373
"305",305,"1996","Jack",157,3.624754
"306",306,"2005","Sesame Street: Sing Yourself Silly!",26,3.061856
"307",307,"2002","Godsmack: Smack This!",253,3.45
"308",308,"1974","The Legend of the 7 Golden Vampires/7 Brothers of Dracula",254,2.782828
"309",309,"1975","The Day of the Locust",255,3.076233
"310",310,"2000","Leila",256,3.371882
"311",311,"1994","Ed Wood",257,3.577313
"312",312,"2000","High Fidelity",258,3.710076
"313",313,"2000","Pay It Forward",259,3.68911
"314",314,"1985","Saturday Night Live: The Best of Jon Lovitz",241,3.410959
"315",315,"1964","Combat! Season 3: Operation 2",260,3.296296
"316",316,"1999","Futurama: Monster Robot Maniac Fun Collection",261,4.301166
"317",317,"1997","Mandela and de Klerk",262,3
"318",318,"1994","Beyond Suspicion",263,2.344086
"319",319,"1987","Straight to Hell",21,3.008547
"320",320,"1997","Eat Your Heart Out",264,2.813008
"321",321,"2004","Ju-Rei: The Uncanny",265,2.739437
"322",322,"1974","Flesh Gordon",266,2.587444
"323",323,"1999","Modern Vampires",267,2.416785
"324",324,"1994","Mother's Boys",268,3.054404
"325",325,"2004","Ghosts of Rwanda: Frontline",269,4.193172
"326",326,"1937","The Plainsman",101,3.292683
"327",327,"1997","Storefront Hitchcock",270,3.177143
"328",328,"2002","Deftones: Live in Hawaii",271,2.887755
"329",329,"1999","Dogma",253,3.587593
"330",330,"1998","Wild Things",272,3.461176
"331",331,"1997","Chasing Amy",273,3.621725
"332",332,"2002","They Crawl",274,2.244898
"333",333,"2003","Mail Call: The Best of Season 2",148,3.78329
"334",334,"2005","The Pacifier",250,3.558098
"335",335,"1981","Fear No Evil",275,2.197279
"336",336,"1978","The Driver",88,3.172589
"337",337,"1983","Star 80",219,2.970524
"338",338,"1942","The Three Stooges: Three Smart Saps",276,3.89154
"339",339,"1968","Rolling Stones: Rock and Roll Circus",277,3.785714
"340",340,"1998","Midnight: 2000 Seen By...",278,2.938202
"341",341,"2004","Tremors 4: The Legend Begins",279,3.050243
"342",342,"2001","Noir",40,3.709992
"343",343,"2000","French and Saunders: Live",135,3.173913
"344",344,"1967","The Taming of the Shrew",82,3.696546
"345",345,"1998","Star Trek: Voyager: Season 5",129,4.110467
"346",346,"2005","Up and Down",237,3.047917
"347",347,"1989","Iceman Cometh",280,2.45283
"348",348,"1988","The Last Temptation of Christ",281,3.405975
"349",349,"1978","The Swarm",173,2.465278
"350",350,"1993","Dr. Quinn,Medicine Woman: Season 3",184,3.795775
"351",351,"1969","Guns of the Magnificent Seven",11,2.9375
"352",352,"1997","Pick a Card",282,2.559322
"353",353,"2002","Life or Something Like It",283,3.254877
"354",354,"1981","Sadomania",97,2.283688
"355",355,"1973","Sinful Nuns of St. Valentine",11,2.013514
"356",356,"2005","Look at Me",27,3.073553
"357",357,"2003","House of Sand and Fog",284,3.512085
"358",358,"1979","The Onion Field",88,3.539544
"359",359,"2003","Absolutely Fabulous: Series 5",285,4.154016
"360",360,"1999","Lies",144,2.388512
"361",361,"2004","The Phantom of the Opera: Special Edition",286,3.636217
"362",362,"2000","The Flintstones in Viva Rock Vegas",158,2.512827
"363",363,"2002","Stark Raving Mad",287,2.95687
"364",364,"2004","Billy Blanks: Tae Bo: Contact 2",168,2.934426
"365",365,"1989","R.E.M.: Tourfilm",288,3.224806
"366",366,"2004","Still,We Believe: The Boston Red Sox Movie",289,3.494253
"367",367,"2003","Spun",290,3.141581
"368",368,"1986","The Best of Designing Women",101,3.408501
"369",369,"2000","Playing Mona Lisa",291,2.863924
"370",370,"1918","Chaplin",292,3.110879
"371",371,"1966","The Trouble with Angels",281,3.873806
"372",372,"1998","Jeans",293,2.391892
"373",373,"2000","Third World Cop",52,2.776471
"374",374,"1976","The Little Girl Who Lives Down the Lane",261,3.319328
"375",375,"2003","Nine Dead Gay Guys",104,3.026406
"376",376,"2001","Genesis: The Way We Walk: Live in Concert",244,3.42487
"377",377,"1979","Dick Francis: The Racing Game",294,2.540541
"378",378,"2003","Party Monster",295,2.835637
"379",379,"1996","Crash Dive",62,2.632911
"380",380,"1992","Live Wire",256,3.088292
"381",381,"1991","Out for Justice",296,3.39349
"382",382,"2004","Buried in the Sand: The Deception of America",227,3.064935
"383",383,"2001","Hit Team",118,2.733032
"384",384,"1986","Crossroads",297,3.735294
"385",385,"2002","The Santa Clause 2",298,3.63001
"386",386,"1994","Princess Caraboo",299,2.948524
"387",387,"1984","Bizet's Carmen",300,3.515306
"388",388,"1990","Body Chemistry",301,2.328704
"389",389,"2002","Steal",214,3.111111
"390",390,"1981","The Fan",133,2.690586
"391",391,"1967","The Monkees: Season 2",302,3.538188
"392",392,"1993","Danielle Steel's Heartbeat",20,3.233333
"393",393,"1998","The Replacement Killers",80,3.322668
"394",394,"1916","20,000 Leagues Under the Sea",303,3.569462
"395",395,"1935","Captain Blood",304,3.986726
"396",396,"2001","Arjuna: Complete Collection",43,3.102941
"397",397,"1946","A Night in Casablanca",130,3.928571
"398",398,"1976","In the Realm of the Senses",2,2.746032
"399",399,"2001","Fangs",178,2.330645
"400",400,"1970","Rio Lobo",305,3.831648
"401",401,"1989","Halloween 5: The Revenge of Michael Myers",34,3.635177
"402",402,"1999","Pan Tadeusz",306,3.239669
"403",403,"2000","Substitute 4: Failure is Not an Option",17,3.091954
"404",404,"2001","The Shaft",307,2.488987
"405",405,"1987","Wings of Desire",308,3.748298
"406",406,"2005","Hostage",309,3.762713
"407",407,"1972","The Abductors",310,2.691244
"408",408,"1990","Nightbreed",10,3.40443
"409",409,"1966","Godzilla vs. The Sea Monster",311,3.550562
"410",410,"1998","Frank Lloyd Wright",312,3.907
"411",411,"1999","Vendetta",313,2.916256
"412",412,"1999","Jay Jay the Jet Plane: Adventures in Learning",153,3.126582
"413",413,"2002","Igby Goes Down",159,3.410992
"414",414,"1999","Girl",146,2.937102
"415",415,"2002","Reign in Darkness",314,1.75
"416",416,"2003","Elephant",280,2.987257
"417",417,"1986","Transformers: Season 3: Part 1",315,3.932918
"418",418,"2004","The Deal",82,2.723092
"419",419,"2005","George Lopez: Why You Crying?",316,3.912458
"420",420,"1999","Saturday Night Live: The Best of Dana Carvey",243,3.714029
"421",421,"2003","Agatha Christie's Poirot: Sad Cypress",317,4.04111
"422",422,"1964","The Unsinkable Molly Brown",318,3.393928
"423",423,"1963","My Favorite Martian #1",12,2.989726
"424",424,"1998","Happiness",319,3.556954
"425",425,"2000","The 10th Kingdom",320,3.672084
"426",426,"2001","Recess: School's Out",269,3.247966
"427",427,"1990","Graveyard Shift",321,2.87014
"428",428,"2004","Barney: Barney's Colorful World: Live",208,2.834783
"429",429,"1997","Zeus and Roxanne",237,3.364618
"430",430,"2002","Chobits",3,4.048366
"431",431,"2002","Millennium Actress",77,3.541386
"432",432,"1996","Les Miserables in Concert",322,3.987764
"433",433,"1993","Untamed Heart",323,3.554147
"434",434,"2004","Extreme Engineering: Tokyo's Sky City",324,3.467153
"435",435,"1996","Love Can Seriously Damage Your Health",241,2.876106
"436",436,"1985","Girls Just Want to Have Fun",325,3.813677
"437",437,"2005","Beyblade: Fierce Battle",257,3.269939
"438",438,"1997","Bean: The Movie",210,3.030493
"439",439,"1961","Town Without Pity",326,3.219118
"440",440,"2003","Just 4 Kicks",47,2.925234
"441",441,"1968","Dark Shadows: Vol. 9",327,3.769231
"442",442,"1988","Mississippi Burning",328,3.934318
"443",443,"2002","Rabbit-Proof Fence",285,3.973624
"444",444,"2001","The Inner Tour",51,3.166667
"445",445,"1996","Michael Collins",6,3.539708
"446",446,"1995","The Underneath",329,2.832158
"447",447,"1986","The Making of Fanny and Alexander",126,3.444444
"448",448,"2001","Oswald: Welcome to the Big City!",276,3.201058
"449",449,"2003","Jimmy Buffett: MiniMatinee #1",330,2.988636
"450",450,"2000","Isaac Stern: Life's Virtuoso",331,3.37037
"451",451,"1993","Batman the Animated Series: Vol. 3",332,4.165005
"452",452,"2002","Scorched",333,2.893706
"453",453,"1992","Simple Men",334,3.554502
"454",454,"1995","Xena: Warrior Princess: Season 3",210,3.933553
"455",455,"1999","Cardcaptor Sakura: The Movie",335,3.789474
"456",456,"1996","Emma (Miniseries)",336,3.6815
"457",457,"2004","Kill Bill: Vol. 2",337,3.874524
"458",458,"2001","Blast",338,3.547009
"459",459,"1996","Basquiat",338,3.478508
"460",460,"1971","Pink Narcissus",339,2.190058
"461",461,"2000","Nightwalker #1: Midnight Detective",118,3.466543
"462",462,"2005","Classic Cartoon Favorites: Starring Donald",245,4.033679
"463",463,"1962","The Twilight Zone: Vol. 12",340,4.090909
"464",464,"1987","The Return of Ruben Blades",186,2.756098
"465",465,"1995","Coolie No.1",341,2.908163
"466",466,"1990","Doogie Howser,M.D.: Season 2",342,3.748619
"467",467,"1941","Topper Returns",24,3.561303
"468",468,"2003","The Matrix: Revolutions",90,3.516888
"469",469,"1998","First Night of My Life: 2000 Seen By...",278,2.786408
"470",470,"2001","Beneath Loch Ness",185,2.445993
"471",471,"1931","City Lights",343,4.071636
"472",472,"1998","Mr. Jealousy",344,3.060429
"473",473,"1997","Princess Mononoke",299,4.033121
"474",474,"1998","Legend of 1900",83,3.600864
"475",475,"1993","Surf Ninjas",345,3.00485
"476",476,"2004","VeggieTales Classics: Where's God When I'm Scared?",346,4.133234
"477",477,"1990","George Carlin: Personal Favorites",316,3.959729
"478",478,"1962","The Beverly Hillbillies",347,3.260047
"479",479,"1988","George Carlin: What Am I Doing in New Jersey?",316,3.869812
"480",480,"1997","Flypaper",348,2.568627
"481",481,"2002","Building the Great Pyramid",349,3.110215
"482",482,"2002","Frida",350,3.787472
"483",483,"2001","Rush Hour 2",351,3.451661
"484",484,"1992","Danielle Steel's Jewels",103,3.513043
"485",485,"1967","The Avengers '67",88,3.555217
"486",486,"1959","Journey to the Center of the Earth",352,3.650646
"487",487,"1968","Doctor Who: Lost in Time: The Patrick Troughton Years",352,3.72
"488",488,"2001","His Secret Life",353,3.6589
"489",489,"1998","Return to Paradise",354,3.551529
"490",490,"1999","The Passion of Ayn Rand",5,2.86836
"491",491,"1966","Torn Curtain",355,3.369338
"492",492,"1984","Mrs. Soffel",351,2.959064
"493",493,"1972","The Giallo Collection: Who Saw Her Die?",173,2.603774
"494",494,"1983","Monty Python's The Meaning of Life: Special Edition",267,4.001136
"495",495,"2000","Mission Kashmir",328,3.095149
"496",496,"2004","Primus: Hallucino-Genetics Live 2004",61,3.703057
"497",497,"2003","Broadway's Lost Treasures",228,3.479789
"498",498,"1989","Glory: Bonus Material",183,4.064286
"499",499,"2000","Under Suspicion",263,3.043592
"500",500,"2002","Mail Call: The Best of Season 1",148,3.629278
"501",501,"1975","Three Days of the Condor",149,3.801914
"502",502,"2003","Mitch Hedberg: Mitch All Together",356,3.705845
"503",503,"2005","Max and Ruby: Springtime for Max and Ruby",357,3.61753
"504",504,"1964","The Twilight Zone: Vol. 27",358,4.060527
"505",505,"1997","A Thousand Acres",7,3.139812
"506",506,"1976","Blank Generation / Dancin' Barefoot",135,2.796178
