"movie_year","movie_cluster","movie_avgScore"
"1992",86,3.769887
"1976",301,3.771539
"1985",301,3.393251
"1988",328,3.934318
"1991",370,3.738979
"2004",886,3.588893
"2000",57,4.292308
"2003",779,3.434634
"1964",379,3.68547
"2002",415,3.751165
"2004",521,4.186571
"2003",604,3.686217
"2003",148,4.545413
"1989",468,4.032698
"2002",697,3.824967
"1968",307,3.894097
"2003",55,3.776903
"1926",569,3.20283
"2002",448,3.973433
"2001",505,3.517564
"1980",200,4.543761
"1992",160,3.388518
"2003",18,3.252556
"1995",67,3.185714
"2004",967,3.875302
"2002",31,3.220597
"2002",255,3.453337
"2003",357,3.54584
"2002",101,3.040017
"2001",247,3.706658
"1995",264,3.80996
"2000",99,3.373517
"1996",43,3.961893
"2004",178,3.478505
"1975",446,3.70497
"1962",553,3.858262
"2005",307,3.442051
"2001",251,3.279928
"1993",250,3.64749
"1988",196,3.190856
"1997",299,4.033121
"1998",366,3.762952
"1940",552,4.064217
"1999",413,4.483676
"1989",910,4.027797
"2004",285,3.398866
"1978",563,4.061363
"1990",135,4.437181
"1990",538,3.274114
"1991",649,3.616059
"1991",826,3.998281
"2004",139,3.439549
"2004",776,4.165076
"2001",599,3.974806
"2003",675,3.651856
"1946",348,3.591235
"1993",133,3.957696
"1999",887,3.629432
"2002",428,3.673678
"1984",101,3.671385
"1997",329,3.602673
"2000",766,3.851273
"1989",580,3.877108
"2003",235,3.074956
"1994",59,3.677814
"1990",821,3.14598
"1990",31,3.097268
"2003",195,3.370307
"1990",491,3.649216
"2001",627,3.892619
"1981",336,4.50428
"2004",631,3.616261
"1968",180,3.705017
"1998",392,2.918641
"2001",602,3.086274
"2001",611,3.032766
"2000",310,3.144475
"2002",397,3.280819
"1989",752,3.813931
"1998",420,3.277637
"1978",564,3.757677
"1968",303,3.796502
"1990",397,4.284265
"1997",377,3.647
"2001",88,3.127862
"1996",529,3.72429
"1987",72,3.702723
"1997",811,4.164486
"1998",529,3.841197
"2004",618,4.341192
"2004",308,3.992179
"2000",546,3.380557
"1990",441,3.760107
"2001",440,3.003458
"2004",40,3.691734
"2002",218,3.587841
"1998",299,4.294902
"2002",633,3.361565
"2004",824,3.997548
"1990",397,4.284265
"2003",806,2.929445
"1994",408,3.543596
"1979",43,4.111002
"1995",285,4.082388
"2004",647,3.531949
"2003",521,3.741515
"2002",178,3.357929
"1983",447,3.741703
"1999",716,3.907104
"1992",639,3.209763
"1990",302,3.762907
"1994",167,4.079366
"1994",791,4.094501
"1998",308,3.639952
"1975",709,4.277093
"1987",555,3.469834
"2004",724,3.585474
"1996",157,3.624754
"1993",111,4.066515
"1998",257,3.639784
"1984",77,3.993266
"1997",363,3.874878
"1994",592,3.659036
"2002",169,2.828947
"2001",283,3.925348
"1986",654,3.447115
"1997",158,3.611562
"1981",359,3.787791
"1994",761,2.815492
"2002",178,3.357929
"1998",741,3.143272
"2003",22,3.720851
"1990",639,3.46053
"1984",378,3.839199
"2002",438,2.993749
"1943",231,3.153724
"2002",370,2.986627
"1995",828,3.788651
"2003",148,4.545413
"1996",259,3.857214
"2003",22,3.720851
"2003",72,3.140178
"1999",352,3.428434
"2001",107,3.480235
"2000",676,3.574266
"2000",259,3.68911
"1994",524,3.967309
"1999",841,3.639514
"2003",386,3.533984
"2002",255,3.453337
"1990",376,2.943845
"1992",424,3.441348
"2000",944,3.462654
"1997",882,3.702682
"1989",596,3.819652
"2003",406,3.914493
"2003",631,3.349158
"1995",262,3.713077
"2001",267,4.052404
"2002",788,3.35914
"2004",285,3.608983
"2003",447,3.65646
"1971",888,4.073817
"1991",993,3.522345
"1993",2,3.790753
"2004",560,3.563391
"1984",733,3.137388
"2003",409,3.495122
"1996",336,3.665636
"1934",46,3.884096
"1999",52,4.325446
"1996",336,3.665636
"2004",285,3.608983
"2003",369,2.949338
"1996",918,3.887463
"2002",152,3.330589
"1999",132,3.70117
"1986",43,4.140457
"2004",285,3.398866
"1983",819,3.731006
"1993",2,3.790753
"1985",44,4.013876
"1941",745,3.89311
"1984",77,3.993266
"1985",494,3.849532
"2001",324,4.379715
"1991",826,3.998281
"1978",255,3.540044
"1998",452,3.526743
"1968",392,3.796843
"1984",737,3.358244
"2004",832,4.144885
"2004",582,4.090384
"2000",37,3.354659
"1991",152,3.52191
"2001",625,4.115143
"2000",554,3.3613
"2003",152,3.183777
"2000",20,3.663277
"1958",725,4.052634
"1996",168,2.706422
"2003",759,3.382686
"2003",632,3.311109
"1988",499,3.378613
"2003",480,4.154146
"1984",255,3.83355
"2003",308,4.415645
"2004",560,3.274906
"2004",560,3.274906
"2003",604,3.686217
"1956",3,3.497776
"2000",674,3.236626
"1935",70,3.942819
"2004",701,3.863561
"1988",621,4.016581
"1986",977,3.853428
"2001",625,4.115143
"1980",823,3.863433
"1983",819,3.731006
"1972",93,2.362319
"2001",399,3.214988
"2004",992,3.80856
"1989",316,4.056715
"2000",22,3.130971
"1998",299,4.294902
"1941",464,4.033116
"2003",720,3.224007
"1963",101,4.164126
"2002",344,3.800375
"1996",192,3.705789
"2004",358,3.442219
"2002",415,3.751165
"1997",95,3.337349
"2000",441,3.910989
"2003",626,2.952346
"1987",840,3.514051
"1987",784,3.710361
"1983",709,3.54889
"2004",428,3.716396
"1985",419,3.415354
"2004",342,3.405063
"2002",738,3.892671
"2001",687,3.347181
"1975",490,3.886148
"1980",80,4.064318
"1985",507,4.117889
"2004",659,2.924365
"2002",639,3.528419
"2003",326,3.3141
"1997",811,4.164486
"1987",811,3.851555
"2002",255,3.453337
"1993",251,3.777071
"1995",281,3.591086
"2002",736,3.291538
"1973",48,3.617955
"1999",321,3.540641
"1994",760,3.041592
"2003",521,3.741515
"1985",632,3.631686
"1988",147,3.937014
"1998",659,3.935818
"2003",675,3.04415
"1993",250,3.64749
"1992",496,3.275178
"1999",398,3.517241
"1984",718,3.764079
"1999",110,3.552198
"1977",31,3.864318
"2004",448,3.064944
"1993",2,3.790753
"1999",521,3.291348
"1995",828,3.788651
"2000",87,3.808471
"1989",610,3.053531
"2001",757,3.634672
"1990",665,3.937916
"2005",461,3.266101
"1995",685,3.776072
"1980",299,3.480145
"1961",281,3.768557
"1999",112,2.650943
"1969",46,3.603858
"1989",262,3.639735
"2001",148,4.434549
"1999",511,3.739393
"1985",507,4.117889
"2004",631,3.616261
"2003",281,3.946369
"1999",712,3.413191
"2003",675,3.04415
"1984",161,3.422381
"2000",251,3.766328
"2000",379,3.294717
"1983",200,4.460864
"1996",32,3.414868
"2003",136,3.975974
"1999",790,3.509959
"2002",877,3.594035
"1994",678,3.599573
"1965",970,3.882615
"1999",253,3.587593
"2005",3,4.071286
"2004",497,2.666395
"1995",685,3.776072
"1994",134,3.8615
"1965",240,3.938955
"1946",130,3.928571
"2000",432,3.716292
"1976",32,2.177033
"1999",567,3.173135
"2004",133,3.54105
"1982",118,3.520562
"1987",555,3.469834
"1987",475,3.281515
"1997",363,3.874878
"2000",264,3.107242
"1954",218,4.241076
"1981",208,3.725313
"2000",372,2.465909
"1995",126,3.344689
"1983",622,3.818948
"1995",317,3.731039
"1998",351,3.639462
"1989",771,3.320542
"2003",604,3.686217
"2004",183,3.311508
"1990",925,3.309295
"2004",308,3.992179
"1999",841,3.639514
"1990",397,4.284265
"1984",378,3.839199
"2004",982,3.56256
"2002",101,4.12221
"2003",493,3.072143
"1998",477,3.526671
"2000",675,3.576728
"2002",76,4.005862
"2002",42,3.946671
"1994",31,4.144449
"2002",159,3.410992
"2000",766,3.851273
"1993",314,3.565502
"1991",469,3.377408
"1941",590,3.730192
"1984",88,3.956728
"2004",88,3.57988
"2001",886,4.527329
"2000",428,3.402732
"2002",429,3.850366
"1992",745,3.628809
"1986",839,2.831658
"2004",539,3.593411
"2003",950,3.068733
"2003",337,3.759005
"1993",95,3.726693
"1999",841,3.639514
"1995",535,3.771849
"1987",263,3.504704
"1989",698,2.861883
"1997",167,4.14619
"2003",172,3.931896
"1997",598,3.699458
"1990",221,4.085294
"2005",604,3.677253
"2003",395,4.263238
"2004",142,3.451358
"1978",709,3.640379
"1977",200,4.504505
"1993",419,3.2912
"1991",848,2.833333
"2003",70,3.831153
"1977",153,3.56229
"1949",569,3.979452
"2001",54,3.305632
"2004",261,4.01796
"1989",447,3.306846
"2003",249,3.73486
"1980",200,4.543761
"2002",624,3.399151
"2004",239,3.036021
"2002",268,3.186647
"2002",448,3.973433
"2001",691,3.478449
"1985",44,4.013876
"2000",720,3.813252
"2004",42,3.421756
"2002",200,3.549751
"2004",647,3.531949
"1981",709,3.525838
"1994",59,3.677814
"2003",389,3.519844
"1989",986,4.386071
"1990",133,3.6791
"2004",480,4.010509
"1984",43,3.653669
"1986",374,3.311329
"2005",22,3.405241
"2005",424,4.23649
"1983",391,4.100614
"2000",147,3.891397
"1999",12,2.892905
"2004",428,3.716396
"2000",727,3.616613
"2003",172,3.931896
"2001",586,3.398229
"1997",61,3.571383
"2004",701,3.863561
"1995",580,3.561313
"1961",870,3.889494
"2001",494,2.47495
"1999",132,3.70117
"1987",651,3.701833
"1999",396,3.347911
"1992",287,3.571182
"2004",29,4.216401
"2004",631,3.616261
"1992",268,3.816064
"1993",666,3.842654
"1968",375,3.827408
"1987",52,4.035021
"1995",255,3.667749
"2000",565,3.656484
"2002",624,3.399151
"2000",310,3.144475
"1989",722,3.473923
"2003",261,3.210328
"1996",423,2.157895
"2004",488,3.627343
"2002",136,3.158269
"1988",638,3.819241
"2002",200,3.549751
"1986",977,3.853428
"2003",331,3.440354
"1936",488,4.104626
"1998",694,3.713801
"1994",317,4.59329
"2002",736,3.291538
"2001",92,4.091973
"1999",393,3.962955
"2004",178,3.478505
"1995",621,3.666299
"2004",42,3.468325
"1996",1000,3.646783
"2002",415,3.751165
"1969",997,3.644231
"1997",123,3.557391
"2003",281,3.317938
"1974",133,4.404166
"1961",870,3.889494
"2004",88,3.57988
"2002",164,2.828804
"2002",706,3.017132
"2003",195,3.370307
"2003",632,3.311109
"1998",68,3.582925
"1967",373,3.650306
"1973",291,3.98515
"1992",707,3.890506
"1992",812,3.818322
"2004",521,4.186571
"2005",658,2.81608
"2004",560,3.274906
"2003",580,2.924327
"2004",401,3.514684
"2004",113,2.601609
"1984",135,4.145889
"2004",423,3.580918
"1982",200,3.834266
"2001",687,3.347181
"1994",374,4.064076
"2002",178,3.357929
"2002",129,3.44278
"1995",35,3.076077
"1979",59,3.489886
"1949",751,3.70489
"1988",944,3.818428
"1974",136,3.972046
"2003",318,3.755254
"1990",397,4.284265
"1963",671,3.960811
"1999",237,3.036176
"2003",588,2.928658
"1989",436,3.502834
"2000",612,3.533859
"1999",200,3.603121
"2005",554,3.226142
"1998",123,3.55914
"2004",133,3.54105
"1978",277,3.671041
"2000",680,2.117175
"2003",326,3.3141
"1990",417,4.110076
"1965",95,4.124321
"2001",406,3.219777
"1993",527,3.82545
"2004",292,3.496145
"1998",795,3.770579
"1997",801,3.785844
"1996",252,3.389644
"1995",209,4.294731
"2004",337,3.626216
"1991",520,2.863609
"1996",107,3.770553
"2005",368,2.982475
"1983",563,3.770868
"2000",409,3.425384
"1992",639,3.209763
"1986",272,3.234142
"1991",382,3.00562
"1994",314,4.043315
"2005",11,3.24837
"1974",783,3.809063
"1939",601,4.170713
"1987",34,3.244861
"1959",141,3.678054
"2004",88,3.57988
"2000",727,3.616613
"2000",409,3.512847
"1955",225,3.626016
"2001",757,3.64622
"1966",793,3.104803
"2000",554,3.3613
"1983",21,3.706398
"1985",419,3.415354
"2002",397,3.280819
"1971",623,3.734911
"2004",285,3.608983
"1997",355,3.70976
"1990",826,3.472582
"1998",520,3.331721
"1991",75,3.408917
"1998",452,3.526743
"1992",39,3.972531
"1985",583,3.277785
"1978",375,3.573269
"1988",554,3.892577
"2002",877,3.594035
"1993",199,3.522355
"1993",276,3.791925
"1996",42,3.412418
"1983",182,3.718461
"2003",90,3.516888
"2004",895,2.988401
"2003",408,3.101094
"1940",439,4.000678
"2002",178,3.357929
"2004",408,3.90588
"2003",779,3.434634
"1998",326,3.843409
"1972",333,2.553459
"1952",784,3.631746
"1993",38,3.759085
"1999",107,3.628809
"2002",329,3.538455
"2000",22,3.130971
"2001",417,3.183512
"2004",5,3.748854
"1967",730,3.7604
"2000",592,3.393872
"2003",65,3.137039
"2003",517,3.582143
"1989",316,4.056715
"1983",397,3.48594
"2004",350,3.751418
"1991",676,3.469232
"1967",282,3.946067
"1998",149,3.665269
"1996",66,4.032409
"1989",484,4.333289
"1997",424,2.826285
"1999",521,3.291348
"1942",13,3.948178
"1959",141,3.678054
"1964",379,3.68547
"1987",704,4.110475
"2002",397,3.280819
"2002",867,4.164032
"1985",25,3.905178
"1987",72,3.702723
"2001",251,3.279928
"1999",35,3.513825
"2003",254,2.883598
"1939",601,4.170713
"2000",766,3.851273
"1994",650,3.480091
"2000",162,3.166929
"2003",427,2.364487
"2004",488,3.627343
"1972",133,4.504222
"1988",344,3.384809
"1987",4,3.672642
"2004",553,3.527308
"2000",649,3.62651
"2003",365,3.694041
"1996",42,3.412418
"2000",616,3.475231
"2001",215,3.625289
"2000",550,3.670938
"2000",411,3.836696
"2004",279,3.601244
"2000",546,3.380557
"1996",42,3.412418
"1988",774,3.514082
"1989",915,3.432834
"1999",261,3.735391
"2000",827,3.692869
"2001",251,3.279928
"2002",438,2.993749
"1989",711,3.694913
"2005",758,3.522703
"1982",106,4.145948
"1986",842,3.578478
"2004",895,2.988401
"1995",693,3.401419
"1999",897,3.54086
"1992",86,3.769887
"1999",52,3.359726
"1997",136,3.616461
"2003",429,3.150935
"1946",405,3.997121
"1983",423,3.810137
"2003",22,3.720851
"2003",753,3.423639
"2003",337,3.759005
"1962",422,4.292388
"1997",811,4.164486
"2002",526,3.145374
"2003",7,2.690093
"1992",370,3.251325
"1988",42,3.262768
"2003",38,3.082665
"1995",883,3.51639
"2002",788,3.35914
"1988",718,3.526558
"2000",25,3.381633
"2003",90,3.516888
"1992",599,3.733984
"2002",344,3.972289
"1970",623,3.684005
"1947",666,3.806414
"1990",621,3.660001
"2004",178,3.478505
"1993",88,4.08285
"2001",802,3.85996
"1997",897,3.752749
"1951",561,3.955605
"1998",291,3.450805
"2004",5,3.032069
"1992",745,3.628809
"1992",155,3.155172
"1987",34,3.244861
"1984",88,3.956728
"1974",126,3.645144
"2000",379,2.949544
"2004",844,3.710885
"2000",647,3.157656
"1972",442,3.062731
"1976",315,3.473603
"1989",847,2.747617
"2004",554,3.384967
"1991",722,3.146523
"2002",437,2.443526
"1998",575,3.938465
"2003",22,3.720851
"1998",68,3.582925
"2003",632,3.311109
"1995",580,3.561313
"2000",251,3.766328
"1972",358,3.645665
"2003",82,3.148368
"2003",973,2.788839
"2002",974,3.515046
"1996",598,3.529831
"2004",350,3.751418
"2002",526,3.145374
"1990",33,3.24825
"2004",350,3.751418
"2001",863,3.924927
"1991",486,3.793762
"2003",130,3.417129
"1996",824,3.396297
"2001",215,3.625289
"2001",148,4.434549
"1988",466,4.125148
"1976",406,3.700862
"2004",263,3.153539
"1995",291,3.544544
"1984",652,3.870758
"1991",676,3.469232
"2001",620,3.534279
"1981",352,3.445879
"2003",65,3.137039
"1989",624,3.582982
"1996",569,3.163385
"2005",3,4.071286
"1999",132,3.70117
"2002",641,2.894097
"1978",310,3.47616
"1986",547,3.706537
"2000",428,3.402732
"2000",610,3.734414
"1988",718,3.526558
"1998",120,3.277639
"1997",811,4.164486
"2000",920,2.982314
"2002",83,3.675676
"2004",113,2.601609
"1998",420,3.277637
"1981",68,3.746993
"1976",301,3.771539
"2002",258,3.61773
"2002",452,4.09633
"1989",398,3.489184
"1996",51,3.804783
"2003",480,4.154146
"2000",503,3.784194
"2003",561,4.134965
"1994",485,3.764224
"2002",269,3.082416
"2004",350,3.751418
"1990",844,3.202573
"1982",596,3.830012
"1996",358,3.102321
"1999",132,3.70117
"1983",351,3.577101
"2004",88,3.57988
"2002",218,3.587841
"2002",177,3.713076
"1987",387,3.135215
"1998",811,2.742199
"1982",945,3.918689
"2000",329,4.2435
"2001",107,3.480235
"1965",326,4.051303
"2000",87,3.808471
"1989",166,3.147675
"2000",138,3.456863
"2002",819,4.137511
"1978",52,3.892909
"1991",589,3.962426
"1993",314,3.896505
"2004",358,3.442219
"2003",603,2.638015
"1985",488,3.538224
"1999",52,4.325446
"2002",42,3.499955
"1996",400,3.723231
"2001",527,3.223061
"1990",397,4.284265
"1993",339,3.944499
"1978",402,3.478874
"1997",646,3.473621
"1988",621,4.016581
"1997",61,3.571383
"2004",152,3.910232
"1984",33,4.067393
"2004",401,3.415171
"1994",712,2.555556
"1992",639,3.209763
"1962",553,3.858262
"1978",9,3.584134
"1967",67,3.957208
"2000",32,4.248327
"2002",246,3.394893
"1977",114,3.785356
"1997",639,3.893956
"2000",87,3.808471
"1987",580,3.971653
"2003",376,3.129588
"2003",599,3.032299
"1999",321,3.540641
"1998",291,3.450805
"1992",43,3.532671
"2004",515,3.674597
"2000",218,3.78264
"2002",17,3.395097
"1970",623,3.684005
"1977",412,3.725198
"1999",189,3.554094
"1987",555,3.469834
"1992",570,3.602605
"1997",189,3.548015
"1992",496,3.275178
"1988",221,3.903587
"1992",78,3.30859
"2001",627,3.892619
"1932",123,3.652911
"1989",910,4.027797
"2000",765,3.556004
"2005",136,3.382694
"1989",771,3.320542
"1963",203,3.982726
"2004",400,3.190911
"2001",620,3.534279
"2003",689,3.5042
"2004",448,3.994086
"1994",207,3.714657
"1998",423,3.571937
"2002",200,3.549751
"1989",468,4.032698
"1999",26,4.425922
"1995",290,3.891789
"1974",44,3.686841
"2004",88,3.57988
"2004",292,3.496145
"2003",29,3.388183
"1998",366,3.762952
"2001",863,3.924927
"1974",347,3.567152
"1984",135,4.145889
"2001",329,4.444552
"1993",525,3.773032
"1998",452,3.526743
"2004",353,2.797786
"1996",475,2.735273
"2000",48,3.56595
"2004",401,3.415171
"2003",753,3.423639
"2002",350,3.287193
"1996",281,3.405229
"2002",101,4.12221
"1998",379,3.13798
"2000",306,4.397721
"2004",917,3.473693
"2003",90,3.514566
"1979",203,4.143408
"2002",148,4.703023
"1999",361,3.804894
"2003",443,3.360761
"1991",615,3.364402
"1986",59,3.49607
"2004",648,3.003263
"1998",659,3.935818
"1999",569,2.870477
"1999",267,3.690749
"1978",52,3.892909
"1994",592,3.659036
"1993",130,3.930332
"1998",811,2.742199
"1996",259,3.857214
"2001",406,3.219777
"2004",95,3.688752
"1979",43,4.111002
"2004",133,3.54105
"2000",676,3.574266
"1985",150,3.95092
"1983",561,3.520577
"1960",340,4.162456
"1995",103,4.135206
"1995",131,3.435466
"2001",757,3.634672
"2004",42,3.421756
"1995",685,3.776072
"1984",97,3.590193
"2005",3,4.071286
"1981",336,4.50428
"1971",623,3.734911
"1984",391,3.635391
"1984",378,3.839199
"2001",247,3.706658
"2003",365,3.694041
"2005",682,3.879903
"2003",603,2.81597
"2004",553,3.527308
"2002",259,3.35593
"1999",823,3.594736
"2004",521,4.186571
"2001",586,3.398229
"2004",401,3.514684
"1998",299,4.294902
"1994",134,3.8615
"2000",80,3.39165
"2004",42,3.468325
"1993",815,3.831679
"2001",557,3.684353
"1988",58,3.369603
"1983",563,3.770868
"2002",542,3.297288
"2003",357,3.54584
"1998",393,4.191832
"1998",393,4.191832
"2003",409,3.495122
"1972",133,4.504222
"2001",176,3.546557
"1995",544,3.70565
"2002",697,3.363678
"2002",354,3.626271
"2002",537,3.793098
"2004",285,3.398866
"2001",149,3.556908
"1976",69,3.893239
"2003",626,2.952346
"2002",974,3.515046
"1995",243,3.923401
"1987",72,3.702723
"1998",953,3.866579
"1991",851,3.574464
"1996",51,3.804783
"2004",629,3.256971
"2004",539,3.593411
"1981",590,3.807465
"1994",18,3.783565
"2001",505,3.517564
"2004",786,3.680781
"1993",250,3.64749
"2001",107,3.480235
"2003",5,3.435318
"1999",107,3.628809
"1970",892,3.923849
"1993",554,3.424851
"2000",966,3.750829
"2001",251,3.279928
"2004",358,3.442219
"2000",596,3.524925
"1984",33,4.067393
"1972",509,3.687554
"1959",274,3.689566
"1997",336,2.97929
"1990",584,3.943568
"2002",283,3.254877
"2002",67,2.880383
"1939",221,3.501594
"1972",385,3.244116
"1984",80,3.60105
"1986",43,4.140457
"2003",255,3.549393
"2002",415,3.751165
"2004",9,3.562265
"1985",101,3.474223
"2003",25,3.537902
"1997",811,4.164486
"1997",175,3.474259
"1981",68,3.746993
"2003",261,3.210328
"2004",42,3.421756
"1969",267,3.896456
"2003",109,3.167334
"1994",791,4.094501
"2002",466,3.304382
"2004",285,3.608983
"2001",659,3.605452
"1999",552,4.306806
"2003",235,3.074956
"1997",9,3.352407
"1991",57,3.335274
"1996",259,3.857214
"1982",9,3.682342
"1992",268,3.816064
"1993",666,3.842654
"1967",730,3.7604
"2000",824,3.064527
"2000",189,3.503414
"1975",46,3.527908
"2004",939,3.830207
"1994",151,4.299842
"1998",772,3.378151
"2004",627,3.175679
"2001",176,3.546557
"2000",766,3.851273
"1994",187,3.954277
"1980",445,3.487109
"1970",291,3.988965
"1979",689,3.627578
"1980",496,3.547237
"1985",359,3.548677
"1998",772,3.378151
"1998",417,3.696264
"1985",233,3.783111
"2000",153,2.275304
"1998",795,3.770579
"2000",448,3.387219
"2002",351,3.486971
"2002",275,3.44999
"2000",402,3.541636
"1995",29,3.439197
"1987",730,2.777315
"1999",887,3.629432
"1990",291,3.360292
"2002",706,3.017132
"2000",208,3.886534
"1989",432,3.906751
"1989",126,3.317525
"1998",44,3.377825
"2003",37,3.090261
"2000",32,4.248327
"2002",935,3.538392
"2003",236,3.291752
"1994",504,3.510437
"1997",133,3.666294
"2001",763,3.000144
"2003",963,3.452573
"1995",178,3.429043
"2004",564,3.269999
"1948",447,3.920287
"2005",309,3.762713
"1989",752,3.813931
"2002",118,2.880404
"1997",355,3.70976
"1940",428,3.539465
"2004",168,2.656442
"1996",413,3.435918
"2005",424,4.23649
"1989",571,3.307496
"1984",480,3.502666
"1992",126,3.064647
"1987",354,3.569392
"2003",480,4.154146
"2002",935,3.538392
"1954",418,3.349284
"2004",554,3.550247
"1986",24,3.827354
"1971",623,3.734911
"2004",292,3.496145
"2001",603,3.323728
"1989",624,3.582982
"1975",374,3.985714
"2001",552,3.036645
"1984",26,3.692939
"2001",509,2.909353
"1992",86,3.769887
"2000",749,4.203065
"1996",298,3.472791
"1994",791,4.094501
"1990",33,3.24825
"2000",329,4.2435
"1999",554,3.690123
"2003",9,3.551792
"1991",993,3.522345
"2000",52,3.507999
"1995",285,3.818757
"1983",248,3.5029
"2002",274,2.686217
"1993",887,3.720569
"1988",593,3.0178
"2000",175,3.263507
"2004",218,3.281468
"2001",394,3.057342
"1999",965,4.160507
"1997",691,3.888849
"2003",480,4.154146
"1998",242,3.154825
"2001",50,3.374692
"2004",292,3.496145
"1992",269,3.676859
"1988",180,3
"2002",332,3.781585
"1980",709,3.751808
"2001",148,4.434549
"2001",223,3.568607
"1984",378,3.839199
"2000",546,3.380557
"1980",80,4.064318
"2000",720,3.813252
"2004",358,3.442219
"2002",42,3.499955
"2003",38,3.082665
"1981",208,3.725313
"2001",511,3.492418
"1995",685,3.776072
"2003",13,4.723066
"1997",173,3.520325
"2000",411,3.836696
"1984",88,3.956728
"1965",373,3.98033
"1997",65,3.473873
"1989",748,3.199882
"2002",148,4.703023
"1984",391,3.635391
"1946",773,3.745178
"1990",162,3.798177
"1997",167,3.708928
"2005",3,4.071286
"2000",409,3.512847
"1997",733,1.853933
"1994",317,4.59329
"2001",586,3.398229
"2002",546,3.590833
"1992",879,3.859525
"2002",233,3.629738
"1985",59,4.053373
"1987",72,3.702723
"1998",619,3.764683
"1999",393,3.962955
"1994",403,3.569892
"2000",38,3.694121
"1937",482,3.881073
"2003",7,2.690093
"1996",197,3.72172
"2000",329,4.459748
"2002",777,3.78504
"1996",761,3.473448
"2004",629,3.256971
"2004",262,2.941989
"1979",209,3.804221
