"","year","name","cluster","avgScore"
"52","2002","The Weather Underground",51,3.757
"53","2003","The Bonesetter",52,1.673
"54","1952","We're Not Married",53,2.987
"55","1995","Jade",54,3.025
"56","2004","Carandiru",55,3.648
"57","1995","Richard III",56,3.679
"58","1996","Dragonheart",57,3.612
"59","2003","Sex and the Beauties",58,2.788
"60","1969","The Libertine",59,2.153
"61","1999","Ricky Martin: One Night Only",60,2.938
"62","1991","Ken Burns' America: Empire of the Air",61,3.619
"63","1943","Crash Dive",62,3.246
"64","2001","Outside the Law",63,2.436
"65","2000","Lost in the Pershing Point Hotel",64,2.331
"66","1989","Barbarian Queen 2",65,2.297
"67","1997","Vampire Journals",66,2.559
"68","2004","Invader Zim",67,4.142
"69","2003","WWE: Armageddon 2003",68,3.296
"70","1999","Tai Chi: The 24 Forms",69,2.737
"71","1995","Maya Lin: A Strong Clear Vision",70,3.77
"72","1974","At Home Among Strangers,A Stranger Among His Own",71,3.152
"73","1954","Davy Crockett: 50th Anniversary Double Feature",13,3.89
"74","1999","6ixtynin9",72,3.186
"75","1997","Grind",73,2.569
"76","1952","I Love Lucy: Season 2",74,4.091
"77","1995","Congo",75,2.853
"78","1996","Jingle All the Way",76,2.942
"79","1956","The Killing",77,3.765
"80","1979","Winter Kills",78,2.806
"81","1991","Antarctica: IMAX",79,3.44
"82","1951","The Frogmen",80,3.034
"83","1983","Silkwood",81,3.729
"84","2002","The Powerpuff Girls Movie",82,3.221
"85","2005","Elfen Lied",83,4.253
"86","1996","Iron Monkey 2",84,1.96
"87","2002","Louder Than Bombs",85,2.793
"88","1998","Record of Lodoss War: Chronicles of the Heroic Knight",86,3.835
"89","2000","Chain of Command",87,2.692
"90","1951","The Lemon Drop Kid",88,3.497
"91","2005","WWE: Royal Rumble 2005",89,3.896
"92","2002","ECW: Cyberslam '99",90,3.556
"93","2004","They Came Back",59,2.682
"94","2000","G3: Live in Concert",91,3.683
"95","1985","Dona Herlinda and Her Son",92,2.585
"96","2000","Inside the Space Station",93,3.368
"97","2002","Mostly Martha",94,3.872
"98","1965","The Battle of Algiers: Bonus Material",95,3.93
"99","1989","A Fishy Story",96,2.416
"100","1993","Sam the Iron Bridge",97,2.675
"101","1997","Complete Shamanic Princess",98,3.374
"102","2004","Notre Musique",99,2.736
"103","1976","Sanford and Son: Season 6",100,3.654
"104","1965","The Great Race",101,3.698
"105","2002","Obsessed",102,3.131
"106","2004","Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985",103,4.097
"107","2000","Magnolia: Bonus Material",104,3.354
"108","2004","Spartan",105,3.167
"109","1996","No Way Back",53,2.68
"110","1989","Scandal",106,3.033
"111","2003","Duplex (Widescreen)",38,3.083
"112","1993","The Eye of Vichy",107,3.013
"113","2000","Bruce Lee: A Warrior's Journey",30,3.885
"114","1989","Dominion Tank Police Part 1 & 2",53,3.365
"115","1973","Lord Peter Wimsey: Murder Must Advertise",108,3.537
"116","2004","Bear Cub",109,3.539
"117","1957","Silk Stockings",110,3.461
"118","1985","Rambo: First Blood Part II",111,3.433
"119","1999","Travel the World by Train: Africa",112,2.705
"120","2004","Plain Dirty",113,2.429
"121","2003","Beyonce: Live at Wembley",114,3.602
"122","2002","Cube 2: Hypercube",115,2.912
"123","2000","Chain of Fools",116,2.829
"124","2000","Cold Blooded",117,2.262
"125","1981","Nighthawks",118,3.371
"126","2003","Vampire Effect (aka Twins Effect)",54,3.201
"127","1987","Fatal Beauty",119,2.63
"128","1985","Mr. Vampire",120,3.216
"129","2003","Darkwolf",121,2.147
"130","1999","Drowning on Dry Land",122,2.224
"131","2002","Arachnid",33,2.697
"132","1981","Lucio Fulci: The Beyond",123,3.075
"133","2003","Viva La Bam: Season 1",124,3.738
"134","1996","Spirit Lost",125,2.122
"135","1998","GTO: Great Teacher Onizuka: Set 2",126,4.136
"136","1927","Cat and the Canary",127,2.966
"137","1998","Naked Lies",128,2.389
"138","1995","Star Trek: Voyager: Season 1",129,3.942
"139","2001","Allergies: A Natural Approach",130,2.526
"140","1993","Lost in the Wild",64,2.534
"141","2004","Goddess of Mercy",131,2.976
"142","2000","The Tricky Master",132,2.812
"143","1997","The Game",133,3.853
"144","2000","Deepak Chopra: The Way of the Wizard & Alchemy",32,3.194
"145","1978","Get Out Your Handkerchiefs",134,3.07
"146","1988","Cannibal Women in the Avocado Jungle of Death",135,2.419
"147","1992","Where Sleeping Dogs Lie",136,2.154
"148","2001","Sweet November",137,3.305
"149","2005","The Edward R. Murrow Collection",138,3.049
"150","2001","Firetrap",139,2.883
"151","2005","Sleepover Nightmare",140,1.937
"152","1995","A Little Princess",141,3.934
"153","2002","MTV Yoga",12,2.747
"154","2000","Demon Warrior Koji",142,2.949
"155","1975","The Strongest Man in the World",143,3.598
"156","1992","Husbands and Wives",100,3.495
"157","2004","Laird: White Knuckle Extreme",58,3.378
"158","2004","A Killer Within",144,2.657
"159","1971","Gentlemen of Fortune",145,3.939
"160","2000","Gormenghast",146,3.007
"161","1939","Ninotchka",147,3.858
"162","1968","John Cleese on How to Irritate People",148,2.964
"163","2002","MTV: Making the Band 2: Best of Season 1",148,2.385
"164","2003","One Last Dance",149,2.625
"165","1982","Richard Pryor: Live on the Sunset Strip",150,3.917
"166","1980","Fame",151,3.556
"167","2004","The Chorus",152,4.092
"168","1983","Smokey and the Bandit Part 3",153,3.243
"169","2004","Cartoon Network Halloween: 9 Creepy Cartoon Capers",154,3.386
"170","1972","Tomorrow",155,3.182
"171","1957","Funny Face",156,3.743
"172","2003","Jack",157,3.125
"173","1968","The Devil's Brigade",158,3.539
"174","1968","Adam-12: Season 1",159,3.332
"175","1992","Reservoir Dogs",160,4.004
"176","2004","The History Channel Presents: Troy: Unearthing the Legend",161,3.263
"177","2002","Pressure",162,2.679
"178","1996","Regular Guys",163,3.372
"179","2003","Bollywood Bound",164,2.456
"180","2002","Scratch",147,3.833
"181","2004","The Last Shot",165,2.6
"182","2001","Moby: Play",166,3.077
"183","2005","IFilm: Deranged",167,3.019
"184","2004","Billy Blanks: Tae Bo: Cardio Circuit 1",168,3.342
"185","1985","Missing in Action 2: The Beginning / Missing in Action 3: Braddock",169,3.057
"186","1950","Panic in the Streets",170,3.379
"187","2002","Death to Smoochy",36,3.012
"188","2005","Dead Birds",56,2.762
"189","1982","Airplane II: The Sequel",33,3.346
"190","1989","Blood and Sand",171,2.107
"191","2003","X2: X-Men United",172,3.932
"192","2003","The SoulTaker",173,3.204
"193","2005","Marilyn Manson: Fear of a Satanic Planet",174,2.958
"194","1996","Arliss: The Best of Arliss",175,3.138
"195","2004","Chasing Freedom",176,3.31
"196","1992","Peter Tosh: Stepping Razor: Red X",177,3.464
"197","2004","Taking Lives",178,3.479
"198","1997","Gupt",24,3.088
"199","1978","The Deer Hunter",52,3.893
"200","1964","The Fall of the Roman Empire",179,3.016
"201","2001","Home Movie",180,3.418
"202","2001","Ruby's Bucket of Blood",181,3.105
"203","1997","Sports Illustrated Swimsuit Edition: 1997",9,3.179
"204","2002","Venus Boyz",182,2.707
"205","2004","Troy: Bonus Material",183,3.301
"206","2004","Unconstitutional: The War on Our Civil Liberties",184,3.858
"207","2001","Denise Austin: Ultimate Fat Burner",185,2.856
"208","1947","The Three Stooges: Sing a Song of Six Pants",186,3.358
"209","1996","Star Trek: Deep Space Nine: Season 5",187,4.161
"210","2001","Onmyoji",188,3.15
"211","2004","The Agronomist",189,3.556
"212","1982","Querelle",190,2.777
"213","2001","Dinner Rush",191,3.471
"214","2002","Read-Along: Beauty and the Beast",119,2.902
"215","1998","That '70s Show: Season 1",26,4.063
"216","2000","Impostor",192,3.218
"217","1988","Cherry 2000",193,2.955
"218","1983","Triumph: Live at the US Festival",194,3.211
"219","1995","Neon Bible",195,2.582
"220","1983","Winston Churchill: The Wilderness Years",196,3.268
"221","2005","Voyage to the Planets and Beyond",197,3.425
"222","1998","Yellow",198,2.602
"223","2003","Chappelle's Show: Season 1",26,4.211
"224","1999","Midsomer Murders: Blood Will Out",199,3.832
"225","2004","The Cookout",152,2.734
"226","1996","Henry: Portrait of a Serial Killer 2",200,2.441
"227","2001","The Carol Burnett Show: Show Stoppers",201,3.416
"228","1979","Butch and Sundance: The Early Days",127,2.83
"229","2003","Peter Gabriel: Growing Up Live",202,3.829
"230","1987","Unsolved Mysteries: Psychics",203,3.112
"231","2002","Marooned in Iraq",204,2.941
"232","1989","Gross Anatomy",146,3.183
"233","1971","Chato's Land",205,3.242
"234","1921","Animation Legend: Winsor McCay",206,2.979
"235","1996","Unhook the Stars",207,3.023
"236","1998","Cartoon Crazys Sci-Fi",208,2.323
"237","1918","Broken Blossoms",209,3.401
"238","1976","Led Zeppelin: The Song Remains the Same",210,3.678
"239","2004","Winnie the Pooh: Springtime with Roo",211,3.767
"240","1942","Woman of the Year",13,3.948
"241","1959","North by Northwest",212,4.158
"242","1995","Neon Genesis Evangelion: The End of Evangelion",213,3.911
"243","1962","Pressure Point",162,3.017
"244","2004","Stellvia",214,3.856
"245","2002","Road Dogz",215,2.8
"246","1968","The Boston Strangler",112,3.116
"247","1994","Oleanna",216,3.035
"248","2001","Michael Moore's The Awful Truth: Season 2",187,3.633
"249","1958","The Hunters",217,3.179
"250","1966","Cast a Giant Shadow",218,3.438
"251","2000","Midsomer Murders: Strangler's Wood",199,3.88
"252","2002","Stuart Little 2",219,3.39
"253","1935","A Night at the Opera",130,4.068
"254","2003","Westender",220,2.048
"255","2001","The Hunchback of Notre Dame II",221,3.143
"256","2000","Ghost Dog: The Way of the Samurai",222,3.441
"257","1973","Charlotte's Web",3,3.912
"258","1999","Mann",223,2.957
"259","2004","Animal",224,3.221
"260","1967","Marat / Sade",218,3.167
"261","1948","The Big Clock",132,3.69
"262","1974","Herbie Rides Again",225,3.71
"263","2001","Dragon Ball: Tournament Saga",226,3.983
"264","2002","Angelina Ballerina: Lights,Camera,Action!",169,2.902
"265","2002","The Jeff Corwin Experience: Costa Rica and the Amazon",227,3.248
"266","2000","Saudade Do Futuro",228,3.048
"267","1994","Touched by an Angel: Season 1",100,3.686
"268","1980","The Final Countdown",229,3.711
"269","1989","Parenthood",230,3.756
"270","2001","Sex and the City: Season 4",58,4.289
"271","1943","Saludos Amigos",231,3.105
"272","1973","Female Yakuza Tale",232,2.918
"273","2004","Taxi",69,3.363
"274","2002","Crazy as Hell",233,2.766
"275","2002","Evelyn",234,3.633
"276","1998","Cold Harvest",235,2.088
"277","2003","Enigma: MCMXC A.D",236,3.442
"278","1990","100 Days Before the Command",149,2.146
"279","1984","Micki and Maude",237,3.171
"280","1998","Sarah Brightman: In Concert",70,3.355
"281","1993","The Legend",138,3.755
"282","2003","Blue Seed: Beyond",238,3.663
"283","1996","If These Walls Could Talk",192,3.707
"284","2005","Sasquatch Hunters",239,2.25
"285","1997","The Devil's Own",158,3.327
"286","1966","Thunderbirds Are Go",240,2.916
"287","1994","Luther Vandross: Always and Forever: An Evening of Songs",76,3.57
"288","2004","Saturday Night Live: The Best of Chris Kattan",241,3.548
"289","1998","The Avengers",88,2.335
"290","2004","Harold and Kumar Go to White Castle",242,3.584
"291","2000","Chained Heat 3: Hell Mountain",185,2.224
"292","2005","Saturday Night Live: The Best of Gilda Radner",243,3.863
"293","2003","Lennon Legend: The Very Best of John Lennon",244,3.764
"294","2002","Oasis",245,3.152
"295","1995","Ace Ventura: When Nature Calls",98,3.315
"296","2000","In His Life: The John Lennon Story",213,2.896
"297","2003","The Hebrew Hammer",52,2.878
"298","2002","Crunch: Pick Your Spot Pilates",246,3.101
"299","2001","Bridget Jones's Diary",247,3.707
"300","1997","Option Zero",248,2.45
"301","2003","Hard Ground",249,2.603
"302","2001","The Isle",250,2.818
"303","1959","Les Liaisons Dangereuses",251,3.094
"304","1997","King of the Hill: Season 1",252,3.768
"305","1996","Jack",157,3.624
"306","2005","Sesame Street: Sing Yourself Silly!",26,3.056
"307","2002","Godsmack: Smack This!",253,3.479
"308","1974","The Legend of the 7 Golden Vampires/7 Brothers of Dracula",254,2.774
"309","1975","The Day of the Locust",255,3.073
"310","2000","Leila",256,3.363
"311","1994","Ed Wood",257,3.578
"312","2000","High Fidelity",258,3.71
"313","2000","Pay It Forward",259,3.689
"314","1985","Saturday Night Live: The Best of Jon Lovitz",241,3.415
"315","1964","Combat! Season 3: Operation 2",260,3.315
"316","1999","Futurama: Monster Robot Maniac Fun Collection",261,4.302
"317","1997","Mandela and de Klerk",262,3.022
"318","1994","Beyond Suspicion",263,2.33
"319","1987","Straight to Hell",21,3.034
"320","1997","Eat Your Heart Out",264,2.813
"321","2004","Ju-Rei: The Uncanny",265,2.72
"322","1974","Flesh Gordon",266,2.59
"323","1999","Modern Vampires",267,2.421
"324","1994","Mother's Boys",268,3.059
"325","2004","Ghosts of Rwanda: Frontline",269,4.196
"326","1937","The Plainsman",101,3.287
"327","1997","Storefront Hitchcock",270,3.186
"328","2002","Deftones: Live in Hawaii",271,2.903
"329","1999","Dogma",253,3.588
"330","1998","Wild Things",272,3.461
"331","1997","Chasing Amy",273,3.622
"332","2002","They Crawl",274,2.243
"333","2003","Mail Call: The Best of Season 2",148,3.791
"334","2005","The Pacifier",250,3.558
"335","1981","Fear No Evil",275,2.182
"336","1978","The Driver",88,3.167
"337","1983","Star 80",219,2.973
"338","1942","The Three Stooges: Three Smart Saps",276,3.89
"339","1968","Rolling Stones: Rock and Roll Circus",277,3.784
"340","1998","Midnight: 2000 Seen By...",278,2.938
"341","2004","Tremors 4: The Legend Begins",279,3.052
"342","2001","Noir",40,3.703
"343","2000","French and Saunders: Live",135,3.154
"344","1967","The Taming of the Shrew",82,3.697
"345","1998","Star Trek: Voyager: Season 5",129,4.112
"346","2005","Up and Down",237,3.05
"347","1989","Iceman Cometh",280,2.439
"348","1988","The Last Temptation of Christ",281,3.405
"349","1978","The Swarm",173,2.469
"350","1993","Dr. Quinn,Medicine Woman: Season 3",184,3.796
"351","1969","Guns of the Magnificent Seven",11,2.93
"352","1997","Pick a Card",282,2.551
"353","2002","Life or Something Like It",283,3.255
"354","1981","Sadomania",97,2.291
"355","1973","Sinful Nuns of St. Valentine",11,2.007
"356","2005","Look at Me",27,3.07
"357","2003","House of Sand and Fog",284,3.512
"358","1979","The Onion Field",88,3.539
"359","2003","Absolutely Fabulous: Series 5",285,4.154
"360","1999","Lies",144,2.394
"361","2004","The Phantom of the Opera: Special Edition",286,3.636
"362","2000","The Flintstones in Viva Rock Vegas",158,2.514
"363","2002","Stark Raving Mad",287,2.954
"364","2004","Billy Blanks: Tae Bo: Contact 2",168,2.951
"365","1989","R.E.M.: Tourfilm",288,3.208
"366","2004","Still,We Believe: The Boston Red Sox Movie",289,3.501
"367","2003","Spun",290,3.14
"368","1986","The Best of Designing Women",101,3.412
"369","2000","Playing Mona Lisa",291,2.861
"370","1918","Chaplin",292,3.11
"371","1966","The Trouble with Angels",281,3.874
"372","1998","Jeans",293,2.395
"373","2000","Third World Cop",52,2.762
"374","1976","The Little Girl Who Lives Down the Lane",261,3.335
"375","2003","Nine Dead Gay Guys",104,3.027
"376","2001","Genesis: The Way We Walk: Live in Concert",244,3.422
"377","1979","Dick Francis: The Racing Game",294,2.541
"378","2003","Party Monster",295,2.838
"379","1996","Crash Dive",62,2.637
"380","1992","Live Wire",256,3.093
"381","1991","Out for Justice",296,3.392
"382","2004","Buried in the Sand: The Deception of America",227,3.083
"383","2001","Hit Team",118,2.743
"384","1986","Crossroads",297,3.737
"385","2002","The Santa Clause 2",298,3.628
"386","1994","Princess Caraboo",299,2.95
"387","1984","Bizet's Carmen",300,3.514
"388","1990","Body Chemistry",301,2.324
"389","2002","Steal",214,3.118
"390","1981","The Fan",133,2.691
"391","1967","The Monkees: Season 2",302,3.538
"392","1993","Danielle Steel's Heartbeat",20,3.237
"393","1998","The Replacement Killers",80,3.323
"394","1916","20,000 Leagues Under the Sea",303,3.572
"395","1935","Captain Blood",304,3.987
"396","2001","Arjuna: Complete Collection",43,3.108
"397","1946","A Night in Casablanca",130,3.932
"398","1976","In the Realm of the Senses",2,2.748
"399","2001","Fangs",178,2.339
"400","1970","Rio Lobo",305,3.833
"401","1989","Halloween 5: The Revenge of Michael Myers",34,3.635
"402","1999","Pan Tadeusz",306,3.248
"403","2000","Substitute 4: Failure is Not an Option",17,3.091
"404","2001","The Shaft",307,2.488
"405","1987","Wings of Desire",308,3.752
"406","2005","Hostage",309,3.763
"407","1972","The Abductors",310,2.679
"408","1990","Nightbreed",10,3.405
"409","1966","Godzilla vs. The Sea Monster",311,3.547
"410","1998","Frank Lloyd Wright",312,3.904
"411","1999","Vendetta",313,2.916
"412","1999","Jay Jay the Jet Plane: Adventures in Learning",153,3.122
"413","2002","Igby Goes Down",159,3.411
"414","1999","Girl",146,2.937
"415","2002","Reign in Darkness",314,1.768
"416","2003","Elephant",280,2.987
"417","1986","Transformers: Season 3: Part 1",315,3.931
"418","2004","The Deal",82,2.727
"419","2005","George Lopez: Why You Crying?",316,3.905
"420","1999","Saturday Night Live: The Best of Dana Carvey",243,3.714
"421","2003","Agatha Christie's Poirot: Sad Cypress",317,4.043
"422","1964","The Unsinkable Molly Brown",318,3.395
"423","1963","My Favorite Martian #1",12,2.986
"424","1998","Happiness",319,3.556
"425","2000","The 10th Kingdom",320,3.67
"426","2001","Recess: School's Out",269,3.247
"427","1990","Graveyard Shift",321,2.87
"428","2004","Barney: Barney's Colorful World: Live",208,2.825
"429","1997","Zeus and Roxanne",237,3.362
"430","2002","Chobits",3,4.047
"431","2002","Millennium Actress",77,3.542
"432","1996","Les Miserables in Concert",322,3.989
"433","1993","Untamed Heart",323,3.555
"434","2004","Extreme Engineering: Tokyo's Sky City",324,3.467
"435","1996","Love Can Seriously Damage Your Health",241,2.865
"436","1985","Girls Just Want to Have Fun",325,3.815
"437","2005","Beyblade: Fierce Battle",257,3.28
"438","1997","Bean: The Movie",210,3.031
"439","1961","Town Without Pity",326,3.217
"440","2003","Just 4 Kicks",47,2.934
"441","1968","Dark Shadows: Vol. 9",327,3.77
"442","1988","Mississippi Burning",328,3.934
"443","2002","Rabbit-Proof Fence",285,3.974
"444","2001","The Inner Tour",51,3.18
"445","1996","Michael Collins",6,3.54
"446","1995","The Underneath",329,2.838
"447","1986","The Making of Fanny and Alexander",126,3.411
"448","2001","Oswald: Welcome to the Big City!",276,3.213
"449","2003","Jimmy Buffett: MiniMatinee #1",330,2.989
"450","2000","Isaac Stern: Life's Virtuoso",331,3.353
"451","1993","Batman the Animated Series: Vol. 3",332,4.165
"452","2002","Scorched",333,2.893
"453","1992","Simple Men",334,3.546
"454","1995","Xena: Warrior Princess: Season 3",210,3.933
"455","1999","Cardcaptor Sakura: The Movie",335,3.792
"456","1996","Emma (Miniseries)",336,3.679
"457","2004","Kill Bill: Vol. 2",337,3.874
"458","2001","Blast",338,3.545
"459","1996","Basquiat",338,3.478
"460","1971","Pink Narcissus",339,2.198
"461","2000","Nightwalker #1: Midnight Detective",118,3.468
"462","2005","Classic Cartoon Favorites: Starring Donald",245,4.037
"463","1962","The Twilight Zone: Vol. 12",340,4.093
"464","1987","The Return of Ruben Blades",186,2.778
"465","1995","Coolie No.1",341,2.929
"466","1990","Doogie Howser,M.D.: Season 2",342,3.748
"467","1941","Topper Returns",24,3.564
"468","2003","The Matrix: Revolutions",90,3.517
"469","1998","First Night of My Life: 2000 Seen By...",278,2.779
"470","2001","Beneath Loch Ness",185,2.446
"471","1931","City Lights",343,4.071
"472","1998","Mr. Jealousy",344,3.058
"473","1997","Princess Mononoke",299,4.033
"474","1998","Legend of 1900",83,3.599
"475","1993","Surf Ninjas",345,3.004
"476","2004","VeggieTales Classics: Where's God When I'm Scared?",346,4.132
"477","1990","George Carlin: Personal Favorites",316,3.964
"478","1962","The Beverly Hillbillies",347,3.26
"479","1988","George Carlin: What Am I Doing in New Jersey?",316,3.871
"480","1997","Flypaper",348,2.575
"481","2002","Building the Great Pyramid",349,3.101
"482","2002","Frida",350,3.788
"483","2001","Rush Hour 2",351,3.452
"484","1992","Danielle Steel's Jewels",103,3.515
"485","1967","The Avengers '67",88,3.562
"486","1959","Journey to the Center of the Earth",352,3.651
"487","1968","Doctor Who: Lost in Time: The Patrick Troughton Years",352,3.71
"488","2001","His Secret Life",353,3.658
"489","1998","Return to Paradise",354,3.553
"490","1999","The Passion of Ayn Rand",5,2.872
"491","1966","Torn Curtain",355,3.366
"492","1984","Mrs. Soffel",351,2.962
"493","1972","The Giallo Collection: Who Saw Her Die?",173,2.6
"494","1983","Monty Python's The Meaning of Life: Special Edition",267,4.001
"495","2000","Mission Kashmir",328,3.099
"496","2004","Primus: Hallucino-Genetics Live 2004",61,3.705
"497","2003","Broadway's Lost Treasures",228,3.477
"498","1989","Glory: Bonus Material",183,4.068
"499","2000","Under Suspicion",263,3.045
"500","2002","Mail Call: The Best of Season 1",148,3.635
"501","1975","Three Days of the Condor",149,3.801
"502","2003","Mitch Hedberg: Mitch All Together",356,3.701
"503","2005","Max and Ruby: Springtime for Max and Ruby",357,3.616
"504","1964","The Twilight Zone: Vol. 27",358,4.061
"505","1997","A Thousand Acres",7,3.14
"506","1976","Blank Generation / Dancin' Barefoot",135,2.788
"507","1966","Nevada Smith",321,3.605
"508","1979","Saint Jack",359,2.984
"509","2004","The Volcano Disaster",41,2.454
"510","2004","Blue's Clues: Blue's Room: It's Hug Day",238,3.235
"511","2002","Avenging Angelo",145,2.778
"512","2000","Bubblegum Crisis: Hurricane Live!",360,2.828
"513","1995","Butterfly Kiss",361,2.095
"514","2000","Santana: Supernatural Live",243,3.806
"515","2005","Avia Vampire Hunter",129,1.29
"516","2001","Monsoon Wedding",362,3.781
"517","2001","Two Can Play That Game",49,3.478
"518","1969","The Prime of Miss Jean Brodie",186,3.803
"519","1979","From Mao to Mozart: Isaac Stern in China",187,3.735
"520","2004","E's Otherwise",363,3.868
"521","1927","Presenting Felix the Cat",364,2.695
"522","1999","Love Songs",365,3.301
"523","1969","My Side of the Mountain",174,3.027
"524","1999","Mumford",366,3.276
"525","1999","The Last Seduction II",367,2.035
"526","1994","Angie",224,2.914
"527","1985","Barbarian Queen",65,2.281
"528","2005","The Hitchhiker's Guide to the Galaxy",368,2.983
"529","1998","Summer of the Monkeys",369,3.363
"530","1987","Return to Horror High",370,2.439
"531","1996","You're Invited to Mary-Kate and Ashley's Vacation Parties",371,3.133
"532","1988","Young Einstein",372,3.281
"533","1991","Drop Dead Fred",373,3.12
"534","2000","With a Friend Like Harry",374,3.206
"535","1960","The Alamo",375,3.486
"536","2001","Sol Goode",81,2.814
"537","1991","Here is Greenwood",376,3.511
"538","2003","A Crime of Passion",144,2.741
"539","1987","Rumpole of the Bailey: Series 4",377,3.841
"540","2003","Ghosts of the Abyss: Bonus Material",378,3.391
"541","1998","King Cobra",308,2.485
"542","1997","The Blackout",379,1.888
"543","1999","Roughnecks: The Starship Troopers Chronicles: The Pluto Campaign",380,3.26
"544","1987","Maurice: Bonus Material",286,3.671
"545","2002","Bob the Builder: The Big Game",28,3.484
"546","2005","The Strip Game",52,2.6
"547","1992","Kuffs",381,3.194
"548","1991","Hudson Hawk",382,3.007
"549","1955","Rage at Dawn",383,2.634
"550","1995","First Knight",139,3.459
"551","1994","The Santa Clause",298,3.276
"552","1994","Radioland Murders",69,3.012
"553","1995","Rangeela",384,3.176
"554","1972","Solaris",385,3.244
"555","1996","Cadfael: A Morbid Taste for Bones",386,4.009
"556","1999","New Waterford Girl",387,2.96
"557","1991","Liebestraum",388,2.523
"558","1994","Fantastic Four",389,3.264
"559","1940","Rebecca: Bonus Material",119,3.57
"560","2003","Star Trek: Enterprise: Season 3",129,4.191
"561","1963","High and Low",390,3.94
"562","2002","Bloody Mallory",75,2.365
"563","2001","Jimmy Neutron: Boy Genius",330,3.496
"564","1990","Predator 2",209,3.196
"565","2002","Tom Petty and the Heartbreakers: Live at the Olympic: The Last DJ",391,3.26
"566","1996","Bullet",392,3.082
"567","2003","Dunsmore",366,2.827
"568","1999","Knights of Ramune",261,2.962
"569","1979","The In-Laws",88,3.481
"570","2000","The Visit",5,2.912
"571","1999","American Beauty",393,3.963
"572","1962","The Masque of the Red Death / The Premature Burial",254,3.245
"573","1983","Winners & Sinners",394,3.286
"574","1960","Strangers When We Meet",353,3.206
"575","1994","Highlander: Season 4",135,4.054
"576","2000","Popular: Season 2",395,3.839
"577","1961","The Twilight Zone: Vol. 36",326,4.194
"578","1963","The Terror",132,2.403
"579","1973","The Autobiography of Miss Jane Pittman",396,3.983
"580","1971","THX 1138: Special Edition",397,3.076
"581","1993","Black Jack: The Movie",398,3.313
"582","1986","Jo Jo Dancer,Your Life is Calling",399,3.014
"583","1959","Third Man on the Mountain",48,3.299
"584","1998","The Curve",400,3.059
"585","1995","My Family",401,3.814
"586","1995","Shanghai Triad",402,3.319
"587","1983","The Scarlet and the Black",93,3.77
"588","1990","Blue Planet: IMAX",403,3.448
"589","2000","Northanger Abbey",212,2.349
"590","2001","Michael McDonald: A Gathering of Friends",404,3.398
"591","2003","Particles of Truth",331,2.895
"592","1974","House of Whipcord",284,2.007
"593","2000","Baby Genius: Mozart and Friends",338,2.736
"594","2002","By Hook or By Crook",117,2.563
