"","movie_year","movie_cluster","movie_avgScore"
"34326","2003",521,3.741515
"12843","1998",366,3.762952
"33258","1998",291,3.450805
"69208","2002",674,3.13767
"64381","1973",42,3.989092
"29385","1994",257,3.577313
"29561","1992",160,4.003484
"85992","1985",941,3.858601
"98377","2004",579,2.696383
"20434","2003",180,3.945003
"98286","1988",980,3.52044
"36006","2001",527,3.223061
"4283","1995",264,3.80996
"89199","1967",973,3.954721
"57023","1986",92,3.521587
"35827","1988",152,3.502308
"28054","1989",126,3.317525
"19796","1987",72,3.702723
"75746","2001",718,2.364706
"39311","2003",603,3.560767
"11908","2000",718,3.392279
"99758","2004",42,3.421756
"21570","1985",754,3.391661
"44306","1986",339,3.759592
"18135","1988",209,3.692947
"4385","1999",615,3.029171
"45539","2002",255,3.453337
"10938","2003",227,2.624039
"69114","2002",601,4.270513
"97250","1961",158,3.964126
"10370","2004",95,3.688752
"89944","1959",212,4.158199
"75708","1998",159,4.094286
"67550","1998",425,3.951937
"52625","2005",615,3.292741
"7467","2003",912,3.71179
"3998","1984",718,3.764079
"61612","1998",542,3.941492
"44264","1997",343,3.616492
"58477","2004",832,4.144885
"75038","1989",644,3.291793
"39216","1995",301,3.475955
"80601","1989",752,3.813931
"75079","2001",59,3.588055
"40655","1989",483,3.413468
"70555","1999",9,3.156884
"74093","2004",448,3.994086
"88111","1991",556,3.319
"98586","2001",527,3.223061
"31154","2005",404,3.881081
"1346","1987",320,3.621688
"304","1999",118,4.030182
"92238","2004",608,3.435104
"45795","1999",219,3.398985
"10549","2001",603,3.323728
"77779","1987",721,3.299748
"30729","1994",167,4.079366
"70617","2002",329,4.46689
"61970","1992",287,3.571182
"69632","1999",943,3.48652
"45262","2000",720,3.813252
"34030","1987",52,4.035021
"73540","2004",560,3.563391
"79869","1985",419,3.318777
"96981","2001",757,3.64622
"19504","2000",379,2.949544
"24318","2000",58,4.236004
"73145","2003",9,3.551792
"99906","1973",639,3.030361
"29588","1981",316,3.433862
"34801","2000",177,4.078933
"77672","2001",215,3.625289
"99556","1994",791,4.094501
"32952","1984",25,3.824439
"97811","2002",75,3.150811
"78742","1992",204,3.434482
"80172","2000",633,3.295465
"32030","2005",615,3.292741
"96198","1984",88,3.956728
"26255","1995",29,3.439197
"63003","1983",200,4.460864
"38329","2003",753,3.423639
"53556","2000",135,3.934976
"86461","1954",917,3.503483
"99837","1999",447,3.143235
"88957","1980",123,3.078029
"86677","2000",558,3.021303
"46323","2002",625,3.486883
"49157","1998",376,3.830179
"5927","1985",664,3.672007
"64385","1995",828,3.788651
"93197","2003",759,3.382686
"93777","1990",729,3.188948
"44167","1993",562,3.36928
"28773","2002",982,3.367374
"22377","2001",804,3.337194
"67572","2002",526,3.145374
"37935","1987",555,3.469834
"15530","1991",598,3.482967
"16167","2003",281,3.946369
"32285","1944",538,3.521409
"45277","2000",546,3.380557
"78134","1996",42,3.412418
"44213","2004",419,3.929296
"10371","1982",200,3.834266
"30769","2004",560,3.274906
"45302","2004",263,3.153539
"70073","2002",873,3.367036
"90943","1992",570,3.602605
"75765","1934",241,4.007909
"27241","2000",827,3.692869
"56959","2001",671,2.752719
"81523","1997",967,3.454647
"86464","1987",365,3.485795
"58471","1994",18,3.783565
"58783","1988",469,3.709993
"38238","2000",58,4.236004
"76652","2003",365,3.694041
"58715","2003",779,3.434634
"42684","1964",450,4.043493
"88708","2004",967,3.875302
"2756","2000",279,3.789395
"71548","1984",135,4.145889
"65405","1985",266,3.520204
"34360","2001",270,3.350035
"79838","2000",616,3.558669
"33435","2000",720,3.813252
"59886","1999",643,3.299711
"13946","2005",758,3.522703
"5865","2005",210,4.076811
"78704","2004",918,3.721584
"92186","1999",355,3.067809
"82500","2004",982,3.56256
"71153","1990",491,3.649216
"36137","1978",52,3.892909
"70830","1995",285,3.818757
"89679","1940",439,4.000678
"38600","2003",5,3.435318
"35820","1992",509,3.567075
"52258","2003",255,3.549393
"67255","1992",580,3.813993
"67062","2000",448,3.387219
"8116","1984",737,3.358244
"43467","2002",546,3.590833
"28547","1954",218,4.241076
"67664","1999",33,3.38769
"76389","2000",597,2.854858
"44360","1999",191,4.213139
"38921","1997",627,3.442317
"92786","2001",856,3.126891
"46797","1993",250,3.64749
"36066","1999",224,3.566648
"4831","1984",700,3.5561
"15421","1994",207,3.714657
"77410","2002",986,3.135792
"24828","1955",681,3.69463
"37294","2003",148,4.545413
"72352","1987",320,3.621688
"58502","1967",651,3.662023
"63930","2003",406,3.914493
"33513","2004",152,3.910232
"57472","1983",555,3.922062
"68146","1999",25,2.86833
"7","2003",823,3.374053
"66287","1993",527,3.82545
"85596","1997",882,3.702682
"89899","1994",123,3.760929
"89553","2003",511,3.480931
"45516","1995",996,3.656205
"24087","2000",446,2.946708
"12056","1993",562,3.36928
"79066","1972",90,3.543438
"30437","1994",59,3.677814
"94414","1995",139,3.459674
"83037","2002",76,4.005862
"79400","2004",631,3.616261
"38578","2002",220,3.276799
"94473","2002",505,3.15566
"65377","2000",308,3.787224
"39017","1976",618,3.887463
"79011","2004",757,3.298825
"31619","1974",95,3.623382
"65172","1999",511,3.739393
"20920","2001",553,3.570778
"56916","2001",215,3.625289
"61724","2000",48,3.56595
"79976","2002",408,3.871634
"87534","1977",297,3.900768
"52736","2004",629,3.256971
"39019","1985",755,3.710249
"89300","1970",85,3.488925
"35823","1983",548,3.27664
"32128","1983",274,3.833345
"99223","2003",711,2.958416
"70613","1996",594,3.39755
"33168","2001",336,3.434391
"91119","2000",680,2.117175
"2430","2002",423,3.780326
"8202","1988",750,3.242025
"39107","2002",302,4.358398
"77635","1998",393,4.191832
"30007","2002",167,4.330155
"63153","1986",61,3.384416
"18576","1999",511,3.739393
"15980","1990",369,3.269134
"84149","1985",573,3.691555
"20213","1999",674,4.280419
"16857","2000",732,2.937115
"53206","2002",526,3.145374
"23219","1988",466,4.125148
"75349","2002",187,4.045155
"52207","1982",581,3.31992
"36116","1977",200,4.504505
"91097","2004",92,4.190134
"83011","2002",200,3.549751
"34408","2001",148,4.434549
"63935","1994",44,3.605204
"6697","2003",851,3.51149
"59064","1978",563,4.061363
"61947","2003",337,3.759005
"64201","1994",327,3.562751
"96567","1998",68,3.582925
"94970","1997",139,3.587688
"82176","2000",554,3.3613
"70150","1997",899,3.4755
"51576","1980",995,3.323833
"70940","1995",139,3.459674
"85287","1969",811,2.701923
"82057","2003",22,2.892515
"45402","2003",22,3.720851
"82661","1990",209,3.904908
"61670","2004",353,2.797786
"69927","2003",255,3.549393
"70276","1984",135,4.145889
"82894","1991",55,3.68913
"33584","1985",563,3.392009
"21102","2004",560,3.563391
"64624","2003",429,3.150935
"73377","1985",84,3.993455
"4940","2004",353,2.797786
"59860","2004",132,2.741835
"29925","1999",132,3.70117
"12107","2004",808,3.86719
"43913","2003",318,3.755254
"91419","1995",821,3.594362
"9849","2004",95,3.688752
"69306","2003",632,3.311109
"91311","1995",96,4.352089
"52315","1992",287,3.571182
"48421","1991",598,3.482967
"80991","1963",3,4.097083
"72004","2004",832,4.144885
"39552","2004",488,3.481127
"32833","1995",600,3.676842
"21476","2005",428,3.798969
"1844","2004",872,3.259363
"77718","1957",800,3.94839
"68638","2000",2,2.94455
"42145","1976",69,3.893239
"75869","1997",615,3.55724
"38891","1998",123,3.55914
"27386","1996",1000,3.646783
"63535","2004",369,3.415611
"72446","2004",627,3.175679
"42292","1992",36,3.141214
"68288","2002",674,3.335156
"85017","2000",444,3.215395
"42039","1996",328,3.525801
"43791","2001",903,2.396552
"74835","2003",9,3.551792
"56298","1984",558,3.486855
"51599","1997",167,3.708928
"49783","1992",639,3.209763
"37080","1993",275,2.881034
"86880","2003",9,3.551792
"25264","1988",209,3.692947
"61014","1995",448,3.088136
"86363","2001",241,4.088598
"81863","1989",27,3.951001
"30178","1997",14,3.293512
"10457","2001",729,3.406112
"96893","1999",301,3.685215
"60154","1959",315,3.383333
"57266","1990",584,3.943568
"50131","1989",166,3.147675
"71641","2004",448,3.994086
"13916","1973",990,3.925443
"14299","1975",709,4.277093
"1045","2001",471,3.525831
"63355","2002",178,3.357929
"25576","2004",42,3.421756
"98395","2002",408,3.871634
"62298","1994",397,3.400668
"51464","1994",379,3.190241
"85421","2002",448,3.973433
"74934","1998",68,3.582925
"66430","1995",652,3.297361
"67048","2001",207,3.368182
"56605","1974",593,3.969932
"30264","2000",308,3.787224
"32609","1999",281,3.139139
"57099","2004",152,3.910232
"95634","2004",139,3.439549
"76996","2000",187,4.303165
"53908","2002",200,3.549751
"79633","2003",365,3.694041
"17461","1939",601,4.170713
"20805","1990",221,4.085294
"82671","1968",703,3.603036
"7506","1976",69,3.893239
"67282","2003",675,3.04415
"71857","2000",610,3.734414
"73484","1977",412,3.725198
"39347","1999",841,3.639514
"46935","2000",328,3.346214
"66313","2003",285,4.154016
"79750","1998",281,3.750579
"2535","2002",788,3.35914
"32294","1995",563,3.308503
"37993","1962",347,3.405923
"12022","1992",36,3.141214
"62109","1998",811,2.742199
"58289","1965",326,4.051303
"23435","2003",422,3.779458
"41555","2003",280,2.987257
"3964","1990",166,2.757411
"7602","1998",772,3.378151
"6798","2001",601,3.913912
"89125","1989",82,3.361984
"66456","2003",493,3.072143
"72658","1998",953,3.866579
"19394","1999",219,3.398985
"28591","1996",5,3.644091
"14754","2000",660,3.952808
"57975","2000",747,3.413417
"7474","2004",659,2.924365
"46281","2000",100,3.475493
"72471","2002",706,3.017132
"94930","1986",584,3.950948
"39779","1994",504,3.510437
"27816","1965",46,3.685855
"32932","2002",279,3.301417
"42224","2003",286,3.384412
"78487","2004",395,4.311162
"26957","1996",51,3.804783
"14586","2002",320,3.530735
"96314","2004",401,3.415171
"43532","2004",178,3.525817
"70698","1990",466,3.908138
"88885","2003",921,3.104209
"47661","2004",499,2.404874
"63133","2003",308,4.415645
"1590","1989",396,3.776885
"55034","2002",537,3.793098
"82209","1990",491,3.649216
"24936","1998",452,3.526743
"566","1999",897,3.54086
"76571","2004",746,3.764314
"43302","1999",841,3.639514
"21645","1997",363,3.874878
"77092","1983",709,3.54889
"38509","2002",354,3.626271
"20275","1978",276,3.954068
"64343","1998",257,3.639784
"23963","2000",749,4.203065
"44636","2001",149,3.443992
"78755","1999",604,3.155789
"95947","1995",149,3.683226
"70197","1931",182,4.004465
"61015","2004",143,3.37316
"54219","1999",774,3.054945
"66520","1999",910,3.30223
"30131","2002",174,3.602543
"34064","1997",355,3.70976
"91868","2002",152,3.330589
"90931","1991",603,2.82618
"16819","2001",162,3.519651
"55253","1993",564,3.850753
"9753","2003",90,3.514566
"39925","1984",391,3.635391
"66778","2003",90,3.514566
"60915","2004",342,3.405063
"91074","2003",603,3.560767
"67704","2003",450,3.308089
"30710","1988",101,3.473286
"45984","1986",476,3.863889
"76964","1983",747,4.101891
"24580","1959",212,4.158199
"35852","2001",757,3.634672
"35861","1985",111,3.432149
"33976","1983",563,3.770868
"58790","2001",578,3.388706
"56987","2002",704,3.444019
"60495","1996",824,3.396297
"46243","1964",788,3.847878
"16600","2000",348,4.356984
"7674","2002",200,3.549751
"15475","2004",5,3.748854
"74713","2005",758,3.522703
"19592","1987",811,3.851555
"98346","2001",223,3.568607
"42125","1994",31,4.134898
"55415","2003",281,3.946369
"47192","1996",350,3.329114
"78845","2004",428,3.716396
"22106","2001",883,3.430797
"42974","2003",255,3.549393
"96841","2001",527,3.223061
"32912","2004",143,2.674238
"28829","2003",316,2.615041
"75833","2004",217,4.265418
"13088","2000",485,3.522983
"24382","2004",454,4.126182
"12075","1962",422,4.292388
"56671","2001",802,3.85996
"82623","1995",93,2.967785
"97299","1986",52,3.313543
"63094","2000",106,3.77871
"46506","1990",665,3.937916
"41469","1998",242,3.154825
"32965","1993",314,3.565502
"12179","2004",423,3.943438
"37982","1989",596,3.819652
"32344","1973",3,3.912487
"68075","1993",772,3.425781
"34908","1999",774,3.054945
"11401","2003",172,3.931896
"33936","1967",730,3.7604
"86400","1950",716,4.004824
"19024","1996",107,3.770553
"52944","2002",274,3.350564
"21555","1987",34,3.244861
"72801","2002",83,3.546729
"20830","2000",535,3.878465
"18157","1982",217,3.670823
"82586","1976",132,3.543517
"96279","1993",929,3.458875
"43073","2005",78,3.128638
"34690","2003",17,3.974011
"96145","1996",231,3.729131
"45007","2001",757,3.64622
"23332","1992",423,3.93789
"61286","2000",702,3.97578
"94672","1995",529,3.971477
"40768","1939",376,4.131114
"70479","1992",160,4.003484
"5736","2005",186,3.286353
"65293","2004",138,3.581113
"90938","2004",8,3.195432
"90901","1999",393,3.962955
"18211","1989",915,3.432834
"59793","1998",616,3.399838
"24795","1976",735,3.689589
"45142","2000",100,3.475493
"12082","1998",149,3.665269
"70447","2004",564,3.269999
"93456","2003",443,3.360761
"61550","1995",737,3.717364
"42511","2001",417,3.183512
"44186","2004",9,3.562265
"58603","2002",448,3.973433
"11809","2003",308,4.415645
"90164","1978",519,3.624385
"36694","2001",400,3.400897
"55650","1998",58,4.16736
"11057","2003",328,3.861951
"13831","2001",627,3.892619
"32308","1999",52,4.325446
"14317","1969",267,3.896456
"26953","2004",285,3.398866
"65668","2003",195,3.370307
"14792","1968",307,3.894097
"37829","2002",423,2.676028
"25007","1979",755,3.781114
"90044","2003",617,3.8125
"58595","2004",285,3.398866
"71329","2003",63,2.947022
"39210","1990",621,3.660001
"89464","2002",415,3.751165
"8870","1998",299,4.294902
"88282","2002",350,3.787472
"71351","1978",718,3.525683
"41539","2004",358,3.442219
"59917","1985",563,3.392009
"82704","1997",968,3.646415
"58210","1993",130,2.848866
"93568","2000",554,3.3613
"97006","1996",529,3.72429
"89210","1987",376,3.853505
"11072","1991",908,3.445205
"89520","1977",989,3.590643
"75479","2001",375,3.015317
"92275","1999",261,3.735391
"49354","1996",107,3.770553
"89031","1997",627,3.442317
"16903","2004",234,3.674799
"86637","2004",706,3.679983
"43730","2001",187,3.632509
"20949","2001",689,3.456902
"41928","2001",886,4.527329
"74459","2003",604,3.686217
"74864","1999",393,3.962955
"45382","1983",200,4.460864
"48352","2002",618,4.448881
"83999","1999",965,2.249191
"11831","1986",552,3.602059
"57882","1993",152,3.086216
"27733","1962",351,3.907154
"75274","2002",332,3.681592
"61390","1993",381,4.457542
"75040","2003",109,3.167334
"78367","1980",33,3.809128
"70734","1997",277,3.163521
"85724","2004",560,3.274906
"46922","1986",170,3.808074
"75400","2003",135,3.267555
"24101","1999",26,4.074977
"18168","2003",603,3.560767
"96674","2004",560,3.563391
"18433","2004",428,3.716396
"54751","2005",22,3.405241
"97128","2004",457,3.627957
"78530","2001",519,4.329497
"73330","2004",776,4.165076
"36419","1998",393,4.191832
"11021","2002",674,3.13767
"60417","2003",172,3.931896
"12006","2001",11,2.994252
"68240","1999",118,4.030182
"87152","2001",251,3.279928
"44912","2003",720,3.224007
"99940","2000",612,3.533859
"23892","2004",509,3.105687
"51676","1954",218,4.241076
"56945","2002",284,3.175245
"88930","2000",87,3.808471
"17989","1999",88,3.183859
"26540","1999",107,3.628809
"59426","1999",253,3.587593
"77147","2000",676,3.574266
"21847","1998",291,3.450805
"6612","2003",414,3.240232
"25620","1994",414,3.31015
"31315","2004",434,3.47072
"95109","2002",269,3.082416
"72971","1961",217,4.021833
"14316","2004",554,3.550247
"68684","2004",428,3.716396
"905","2001",223,3.568607
"46385","2004",242,3.584753
"66228","2004",424,2.809382
"22435","1999",409,4.188714
"49942","1986",671,3.412514
"23990","1987",34,3.244861
"12408","1972",133,4.504222
"77709","1999",604,2.919798
"9199","2003",13,4.723066
"94063","1990",114,3.815514
"14403","2005",62,4.014265
"37730","1967",973,3.954721
"94588","1985",576,3.280121
"69432","1999",152,3.786779
"8881","2003",29,3.388183
"27945","1941",745,3.89311
"47263","2001",627,3.892619
"88882","1987",234,3.724023
"29142","1984",22,3.698871
"64347","2002",238,3.805627
"11671","2002",138,3.078568
"45457","2000",732,3.127094
"17510","1993",991,3.550534
"15649","2001",223,3.568607
"4499","1995",544,3.70565
"10277","1991",687,3.333333
"30515","2004",886,3.588893
"88973","1974",44,3.686841
"63117","2001",11,2.994252
"59370","1991",993,3.522345
"79851","1990",493,3.70514
"64913","1950",358,3.747143
"5096","1998",450,4.133033
"80850","1995",178,3.429043
"37498","1991",851,3.574464
"26464","1996",221,3.445981
"20596","1986",889,3.612896
"12855","1965",326,4.051303
"23300","2003",255,3.549393
"74580","1982",80,3.6956
"29934","2001",553,4.051155
"85477","2002",526,3.145374
"45249","1988",181,3.300148
"90479","1993",564,3.850753
"45399","2004",939,3.830207
"71378","2002",347,3.482412
"94881","2003",511,3.480931
"77194","1996",209,3.260393
"62324","1987",34,3.244861
"68027","2003",38,3.082665
"79644","2002",229,2.940375
"29522","2003",5,3.435318
"5086","2005",4,3.552196
"67912","1952",347,3.905969
"19633","1991",75,3.408917
"34607","1979",615,3.799575
"32957","1998",361,3.494916
"98261","2004",757,3.298825
"259","2004",78,3.281634
"41734","1982",33,3.346168
"82383","2004",292,3.496145
"52236","1995",821,3.594362
"46805","2003",418,3.535834
"11101","1994",134,3.8615
"12149","2000",722,3.489933
"40848","1998",417,3.696264
"35215","2004",400,2.991963
"78139","2003",9,3.551792
"73449","1987",685,3.661482
"13575","2000",113,2.387622
"89013","1984",33,4.067393
"43236","1985",563,3.392009
"2034","1975",149,3.801914
"46369","2003",22,3.720851
"48383","2003",7,3.379277
"19355","2003",279,2.873995
"19492","1997",167,3.708928
"16992","2000",546,3.380557
"76814","2000",279,3.789395
"87747","1995",281,3.591086
"46901","1952",693,4.101352
"2299","1998",953,3.866579
"54711","1999",593,3.118462
"69760","1995",828,3.788651
"16060","1962",901,4.086207
"76071","1995",350,3.81084
"17279","2005",710,3.597737
"82392","1999",604,3.155789
"58546","2005",1,3.066736
"69317","1977",200,4.504505
"82577","1991",449,3.973881
"24435","1995",11,3.952801
"37145","2000",503,3.784194
"5661","2001",802,3.85996
"7336","2001",13,4.716401
"29052","1985",755,3.710249
"45363","2002",269,2.928537
"81437","2001",671,2.752719
"97496","1996",731,3.383415
"3219","2004",434,3.47072
"55127","1979",615,3.799575
"6987","2002",633,3.361565
"35874","1996",234,3.995287
"53839","2002",408,3.871634
"84905","2003",521,3.741515
"19432","1980",200,4.543761
"10658","2002",445,3.158628
"39660","2001",687,3.347181
"60319","1984",95,3.891509
"16707","2000",766,3.851273
"96206","1999",180,4.048027
"17180","1975",267,4.173679
"65846","1999",684,3.186982
"41556","1989",146,3.181837
"46222","1999",650,3.49613
"26513","2002",255,3.453337
"79401","2001",281,3.250772
"3684","1981",529,4.190947
"84955","1996",187,4.164741
"283","2004",42,3.939452
"58944","1975",46,3.853496
"84869","2003",17,4.068354
"94486","1991",440,4.111775
"34776","1997",801,3.785844
"31101","1929",152,3.889241
"65579","1987",704,4.110475
"94781","1988",281,3.405975
"11175","1996",298,3.472791
"78675","2001",89,4.448375
"714","2004",448,2.07031
"7366","2004",178,3.525817
"87335","2003",172,3.931896
"94644","1991",589,3.962426
"58002","2001",351,3.451661
"16113","1995",209,4.294731
"15831","2001",281,3.250772
"38768","1997",133,3.852399
"20765","2004",48,2.998759
"18380","2001",549,3.056991
"92672","2005",250,3.558098
"8516","1984",25,3.824439
"48988","1992",879,3.44926
"14616","2002",76,4.005862
"11012","1996",420,3.952594
"27512","1974",826,3.689805
"15635","2001",699,2.964044
"95550","2003",261,3.210328
"71180","1964",788,3.847878
"53683","1989",596,3.819652
"37961","1993",88,4.08285
"61671","1995",443,3.778766
"65361","1995",103,4.135206
"70459","1999",735,2.87523
"65160","1992",749,3.362452
"13533","1993",161,3.682841
"58492","1995",379,3.589532
"60025","1976",897,3.585561
"4666","2001",627,3.892619
"40467","2003",743,3.913032
"85627","2004",88,3.57988
"64345","1993",519,3.763616
"44744","2004",285,3.608983
"48017","1988",718,3.526558
"60083","1977",297,3.900768
"32158","1996",529,3.72429
"27946","1990",133,3.6791
"33104","2003",162,3.74779
"5813","1998",315,3.240763
"78509","1999",310,3.485021
"27438","2001",627,3.892619
"3856","1994",619,4.195069
"16101","2003",89,4.466792
"82815","2003",718,2.776752
"2153","2003",759,3.382686
"73769","2003",576,3.371868
"69229","1998",177,3.867061
"54904","1975",353,3.273523
"42674","1992",812,3.818322
